actual, ,X,Y
123,1,0.503,0.233
122,2,0.505,0.269
121,3,0.507,0.287
120,4,0.508,0.313
119,5,0.51,0.332
118,6,0.513,0.354
117,7,0.514,0.386
116,8,0.514,0.411
115,9,0.52,0.509
114,10,0.512,0.575
113,11,0.516,0.614
112,12,0.531,0.668
111,13,0.529,0.697
110,14,0.537,0.768
109,15,0.54,0.839
108,16,0.539,0.896
107,17,0.541,0.912
106,18,0.543,0.962
105,19,0.546,1.018
104,20,0.546,1.106
103,21,0.545,1.139
102,22,0.545,1.152
101,23,0.542,1.193
100,24,0.54,1.228
99,25,0.541,1.259
98,26,0.543,1.291
97,27,0.547,1.333
96,28,0.548,1.348
95,29,0.549,1.381
94,30,0.549,1.427
93,31,0.552,1.458
92,32,0.552,1.475
91,33,0.551,1.498
90,34,0.552,1.534
89,35,0.553,1.562
88,36,0.557,1.595
87,37,0.557,1.612
86,38,0.565,1.663
85,39,0.567,1.757
84,40,0.572,1.788
83,41,0.57,1.864
82,42,0.575,1.92
81,43,0.578,1.981
80,44,0.571,2.029
79,45,0.576,2.058
78,46,0.581,2.136
77,47,0.586,2.308
76,48,0.59,2.378
75,49,0.594,2.452
74,50,0.6,2.531
73,51,0.597,2.563
72,52,0.597,2.603
71,53,0.6,2.623
70,54,0.604,2.675
69,55,0.608,2.795
68,56,0.613,2.848
67,57,0.618,2.948
66,58,0.62,3.034
65,59,0.629,3.25
64,60,0.609,3.448
63,61,0.616,3.502
62,62,0.614,3.542
61,63,0.61,3.713
60,64,0.609,3.79
59,65,0.61,3.828
58,66,0.614,3.947
57,67,0.608,4.082
56,68,0.598,4.272
55,69,0.593,4.42
54,70,0.595,4.516
53,71,0.6,4.589
52,72,0.604,4.74
51,73,0.609,4.779
50,74,0.609,4.83
49,75,0.619,4.929
48,76,0.623,4.993
47,77,0.625,5.053
46,78,0.626,5.065
45,79,0.63,5.16
44,80,0.631,5.224
43,81,0.631,5.239
42,82,0.629,5.304
41,83,0.628,5.329
40,84,0.626,5.344
39,85,0.626,5.369
38,86,0.635,5.444
37,87,0.639,5.484
36,88,0.641,5.535
35,89,0.646,5.588
34,90,0.646,5.656
33,91,0.649,5.685
32,92,0.652,5.7
31,93,0.652,5.709
30,94,0.654,5.716
29,95,0.659,5.733
28,96,0.66,5.75
27,97,0.659,5.78
26,98,0.657,5.803
25,99,0.664,5.829
24,100,0.667,5.842
23,101,0.666,5.849
22,102,0.665,5.858
21,103,0.667,5.866
20,104,0.671,5.881
19,105,0.673,5.888
18,106,0.682,5.904
17,107,0.682,5.911
16,108,0.686,5.934
15,109,0.688,5.944
14,110,0.69,5.954
13,111,0.691,5.971
12,112,0.691,5.98
11,113,0.693,5.991
10,114,0.694,5.999
9,115,0.699,6.023
8,116,0.701,6.053
7,117,0.704,6.088
6,118,0.71,6.13
5,119,0.713,6.163
4,120,0.713,6.198
3,121,0.718,6.228
2,122,0.733,6.233
1,123,0.744,6.237
