actual, ,X,Y
82,1,0.19,0.179
81,2,0.184,0.204
80,3,0.183,0.249
79,4,0.181,0.286
78,5,0.184,0.315
77,6,0.185,0.334
76,7,0.19,0.391
75,8,0.192,0.423
74,9,0.196,0.46
73,10,0.197,0.479
72,11,0.197,0.517
71,12,0.199,0.567
70,13,0.2,0.585
69,14,0.2,0.601
68,15,0.202,0.61
67,16,0.202,0.658
66,17,0.203,0.664
65,18,0.203,0.677
64,19,0.211,0.727
63,20,0.2,0.787
62,21,0.199,0.802
61,22,0.199,0.843
60,23,0.201,0.884
59,24,0.202,0.956
58,25,0.201,0.984
57,26,0.199,0.999
56,27,0.206,1.018
55,28,0.208,1.09
54,29,0.196,1.169
53,30,0.198,1.195
52,31,0.193,1.239
51,32,0.191,1.275
50,33,0.192,1.308
49,34,0.193,1.35
48,35,0.192,1.429
47,36,0.192,1.449
46,37,0.191,1.488
45,38,0.195,1.519
44,39,0.198,1.583
43,40,0.2,1.609
42,41,0.2,1.613
41,42,0.198,1.664
40,43,0.199,1.701
39,44,0.198,1.724
38,45,0.206,1.784
37,46,0.204,1.824
36,47,0.206,1.834
35,48,0.204,1.843
34,49,0.203,1.85
33,50,0.204,1.909
32,51,0.209,1.937
31,52,0.205,1.975
30,53,0.206,1.998
29,54,0.208,2.023
28,55,0.208,2.029
27,56,0.206,2.063
26,57,0.204,2.111
25,58,0.203,2.195
24,59,0.203,2.278
23,60,0.206,2.357
22,61,0.204,2.366
21,62,0.195,2.408
20,63,0.193,2.445
19,64,0.188,2.524
18,65,0.187,2.56
17,66,0.183,2.589
16,67,0.175,2.633
15,68,0.176,2.708
14,69,0.175,2.759
13,70,0.176,2.779
12,71,0.174,2.791
11,72,0.177,2.8
10,73,0.178,2.826
9,74,0.178,2.851
8,75,0.174,2.877
7,76,0.175,2.883
6,77,0.175,2.894
5,78,0.175,2.91
4,79,0.173,2.919
3,80,0.171,2.926
2,81,0.168,2.947
1,82,0.165,2.954
