actual, ,X,Y
83,1,0.626,0.281
82,2,0.625,0.293
81,3,0.624,0.304
80,4,0.623,0.318
79,5,0.624,0.376
78,6,0.621,0.404
77,7,0.624,0.413
76,8,0.625,0.429
75,9,0.627,0.473
74,10,0.627,0.489
73,11,0.628,0.502
72,12,0.629,0.523
71,13,0.631,0.541
70,14,0.629,0.581
69,15,0.632,0.609
68,16,0.633,0.618
67,17,0.639,0.64
66,18,0.646,0.65
65,19,0.641,0.675
64,20,0.642,0.719
63,21,0.643,0.745
62,22,0.641,0.764
61,23,0.639,0.777
60,24,0.644,0.796
59,25,0.648,0.836
58,26,0.648,0.849
57,27,0.648,0.896
56,28,0.651,0.937
55,29,0.651,0.979
54,30,0.652,0.996
53,31,0.641,1.019
52,32,0.644,1.032
51,33,0.653,1.058
50,34,0.653,1.083
49,35,0.652,1.096
48,36,0.653,1.121
47,37,0.65,1.142
46,38,0.654,1.163
45,39,0.656,1.2
44,40,0.664,1.22
43,41,0.66,1.24
42,42,0.662,1.247
41,43,0.662,1.257
40,44,0.664,1.301
39,45,0.663,1.316
38,46,0.666,1.325
37,47,0.667,1.35
36,48,0.668,1.377
35,49,0.673,1.389
34,50,0.67,1.407
33,51,0.669,1.438
32,52,0.669,1.456
31,53,0.672,1.467
30,54,0.672,1.47
29,55,0.676,1.475
28,56,0.676,1.489
27,57,0.675,1.506
26,58,0.675,1.542
25,59,0.676,1.577
24,60,0.676,1.625
23,61,0.677,1.637
22,62,0.678,1.667
21,63,0.679,1.683
20,64,0.679,1.686
19,65,0.685,1.694
18,66,0.681,1.713
17,67,0.683,1.726
16,68,0.683,1.738
15,69,0.685,1.751
14,70,0.684,1.761
13,71,0.688,1.796
12,72,0.69,1.814
11,73,0.689,1.835
10,74,0.689,1.848
9,75,0.69,1.856
8,76,0.69,1.865
7,77,0.689,1.872
6,78,0.69,1.877
5,79,0.69,1.885
4,80,0.692,1.914
3,81,0.693,1.937
2,82,0.698,1.963
1,83,0.703,1.994
