actual, ,X,Y
129,1,0.602,0.144
128,2,0.599,0.159
127,3,0.601,0.192
126,4,0.6,0.207
125,5,0.598,0.227
124,6,0.602,0.266
123,7,0.603,0.304
122,8,0.603,0.329
121,9,0.601,0.394
120,10,0.604,0.442
119,11,0.61,0.529
118,12,0.612,0.587
117,13,0.611,0.625
116,14,0.615,0.636
115,15,0.609,0.649
114,16,0.606,0.666
113,17,0.607,0.672
112,18,0.607,0.692
111,19,0.609,0.717
110,20,0.609,0.742
109,21,0.61,0.774
108,22,0.608,0.832
107,23,0.609,0.898
106,24,0.607,0.952
105,25,0.607,0.978
104,26,0.606,0.985
103,27,0.607,1.016
102,28,0.609,1.04
101,29,0.608,1.062
100,30,0.609,1.109
99,31,0.611,1.156
98,32,0.611,1.192
97,33,0.613,1.248
96,34,0.615,1.306
95,35,0.614,1.326
94,36,0.614,1.339
93,37,0.614,1.392
92,38,0.616,1.431
91,39,0.618,1.471
90,40,0.618,1.521
89,41,0.626,1.584
88,42,0.617,1.622
87,43,0.62,1.681
86,44,0.624,1.723
85,45,0.625,1.754
84,46,0.631,1.808
83,47,0.629,1.864
82,48,0.625,1.907
81,49,0.632,1.978
80,50,0.631,2.023
79,51,0.629,2.071
78,52,0.629,2.097
77,53,0.628,2.122
76,54,0.629,2.163
75,55,0.634,2.204
74,56,0.632,2.269
73,57,0.629,2.328
72,58,0.626,2.402
71,59,0.628,2.451
70,60,0.63,2.491
69,61,0.63,2.522
68,62,0.632,2.544
67,63,0.632,2.55
66,64,0.631,2.577
65,65,0.629,2.596
64,66,0.631,2.608
63,67,0.631,2.621
62,68,0.633,2.638
61,69,0.633,2.647
60,70,0.632,2.675
59,71,0.633,2.684
58,72,0.63,2.71
57,73,0.634,2.729
56,74,0.634,2.736
55,75,0.633,2.743
54,76,0.637,2.758
53,77,0.636,2.781
52,78,0.635,2.792
51,79,0.636,2.812
50,80,0.636,2.857
49,81,0.636,2.866
48,82,0.635,2.893
47,83,0.638,2.936
46,84,0.636,2.973
45,85,0.635,2.996
44,86,0.635,3.039
43,87,0.635,3.058
42,88,0.635,3.067
41,89,0.637,3.093
40,90,0.634,3.12
39,91,0.638,3.167
38,92,0.639,3.194
37,93,0.641,3.225
36,94,0.643,3.254
35,95,0.642,3.277
34,96,0.643,3.323
33,97,0.645,3.346
32,98,0.642,3.364
31,99,0.64,3.392
30,100,0.644,3.407
29,101,0.644,3.415
28,102,0.648,3.441
27,103,0.648,3.447
26,104,0.65,3.47
25,105,0.649,3.498
24,106,0.649,3.517
23,107,0.652,3.54
22,108,0.652,3.56
21,109,0.651,3.591
20,110,0.648,3.637
19,111,0.648,3.657
18,112,0.649,3.696
17,113,0.651,3.714
16,114,0.65,3.719
15,115,0.65,3.726
14,116,0.648,3.762
13,117,0.648,3.788
12,118,0.649,3.839
11,119,0.649,3.881
10,120,0.651,3.908
9,121,0.652,3.936
8,122,0.648,3.966
7,123,0.649,3.991
6,124,0.65,4.011
5,125,0.651,4.02
4,126,0.651,4.028
3,127,0.648,4.044
2,128,0.645,4.053
1,129,0.639,4.06
