actual, ,X,Y
79,1,0.658,0.141
78,2,0.661,0.181
77,3,0.66,0.201
76,4,0.66,0.209
75,5,0.66,0.222
74,6,0.661,0.231
73,7,0.662,0.249
72,8,0.662,0.283
71,9,0.662,0.298
70,10,0.662,0.313
69,11,0.662,0.322
68,12,0.663,0.336
67,13,0.663,0.342
66,14,0.666,0.375
65,15,0.67,0.399
64,16,0.672,0.414
63,17,0.671,0.454
62,18,0.671,0.479
61,19,0.67,0.512
60,20,0.664,0.596
59,21,0.666,0.623
58,22,0.665,0.657
57,23,0.666,0.678
56,24,0.664,0.701
55,25,0.664,0.733
54,26,0.663,0.75
53,27,0.663,0.767
52,28,0.665,0.787
51,29,0.663,0.793
50,30,0.655,0.842
49,31,0.657,0.85
48,32,0.655,0.87
47,33,0.655,0.882
46,34,0.654,0.889
45,35,0.655,0.917
44,36,0.653,0.947
43,37,0.653,0.952
42,38,0.653,0.961
41,39,0.652,0.975
40,40,0.652,0.998
39,41,0.653,1.008
38,42,0.651,1.047
37,43,0.65,1.06
36,44,0.65,1.098
35,45,0.649,1.108
34,46,0.649,1.111
33,47,0.649,1.126
32,48,0.649,1.138
31,49,0.65,1.156
30,50,0.649,1.163
29,51,0.65,1.181
28,52,0.651,1.191
27,53,0.651,1.201
26,54,0.65,1.221
25,55,0.65,1.227
24,56,0.65,1.239
23,57,0.652,1.25
22,58,0.651,1.259
21,59,0.65,1.267
20,60,0.65,1.282
19,61,0.65,1.286
18,62,0.65,1.297
17,63,0.649,1.313
16,64,0.649,1.343
15,65,0.648,1.358
14,66,0.647,1.382
13,67,0.647,1.396
12,68,0.649,1.414
11,69,0.649,1.431
10,70,0.645,1.449
9,71,0.646,1.483
8,72,0.644,1.516
7,73,0.644,1.542
6,74,0.643,1.554
5,75,0.645,1.564
4,76,0.643,1.597
3,77,0.644,1.628
2,78,0.643,1.677
1,79,0.643,1.707
