actual, ,X,Y
117,1,0.276,0.046
116,2,0.276,0.056
115,3,0.278,0.068
114,4,0.278,0.085
113,5,0.28,0.091
112,6,0.28,0.096
111,7,0.28,0.152
110,8,0.281,0.196
109,9,0.282,0.246
108,10,0.28,0.275
107,11,0.279,0.285
106,12,0.28,0.299
105,13,0.28,0.307
104,14,0.278,0.329
103,15,0.278,0.335
102,16,0.278,0.368
101,17,0.282,0.383
100,18,0.281,0.401
99,19,0.281,0.422
98,20,0.283,0.436
97,21,0.283,0.47
96,22,0.284,0.484
95,23,0.285,0.495
94,24,0.286,0.513
93,25,0.286,0.532
92,26,0.285,0.557
91,27,0.287,0.586
90,28,0.287,0.611
89,29,0.289,0.636
88,30,0.291,0.663
87,31,0.291,0.682
86,32,0.291,0.69
85,33,0.292,0.712
84,34,0.292,0.735
83,35,0.287,0.766
82,36,0.288,0.793
81,37,0.287,0.841
80,38,0.285,0.866
79,39,0.286,0.878
78,40,0.286,0.903
77,41,0.291,0.948
76,42,0.292,0.975
75,43,0.291,1.009
74,44,0.294,1.032
73,45,0.295,1.059
72,46,0.298,1.089
71,47,0.293,1.119
70,48,0.297,1.131
69,49,0.299,1.155
68,50,0.303,1.183
67,51,0.296,1.243
66,52,0.299,1.322
65,53,0.301,1.387
64,54,0.301,1.419
63,55,0.304,1.452
62,56,0.304,1.474
61,57,0.306,1.486
60,58,0.307,1.508
59,59,0.307,1.513
58,60,0.308,1.531
57,61,0.308,1.547
56,62,0.31,1.566
55,63,0.31,1.579
54,64,0.308,1.59
53,65,0.308,1.603
52,66,0.311,1.622
51,67,0.311,1.641
50,68,0.309,1.67
49,69,0.307,1.701
48,70,0.309,1.74
47,71,0.311,1.802
46,72,0.31,1.813
45,73,0.313,1.847
44,74,0.313,1.868
43,75,0.315,1.885
42,76,0.314,1.903
41,77,0.314,1.925
40,78,0.318,1.948
39,79,0.318,1.964
38,80,0.321,1.991
37,81,0.318,2.018
36,82,0.321,2.058
35,83,0.317,2.089
34,84,0.323,2.128
33,85,0.321,2.169
32,86,0.326,2.211
31,87,0.325,2.288
30,88,0.325,2.314
29,89,0.322,2.337
28,90,0.323,2.359
27,91,0.327,2.388
26,92,0.325,2.424
25,93,0.331,2.484
24,94,0.331,2.521
23,95,0.338,2.533
22,96,0.338,2.547
21,97,0.337,2.575
20,98,0.336,2.611
19,99,0.338,2.648
18,100,0.341,2.678
17,101,0.342,2.705
16,102,0.342,2.724
15,103,0.342,2.736
14,104,0.342,2.751
13,105,0.343,2.772
12,106,0.344,2.798
11,107,0.347,2.85
10,108,0.347,2.884
9,109,0.347,2.91
8,110,0.347,2.949
7,111,0.348,2.986
6,112,0.349,3.017
5,113,0.351,3.062
4,114,0.351,3.092
3,115,0.353,3.126
2,116,0.355,3.143
1,117,0.362,3.158
