actual, ,X,Y
157,1,0.492,0.172
156,2,0.501,0.188
155,3,0.5,0.203
154,4,0.491,0.251
153,5,0.503,0.297
152,6,0.508,0.34
151,7,0.511,0.425
150,8,0.515,0.468
149,9,0.522,0.552
148,10,0.525,0.611
147,11,0.531,0.631
146,12,0.534,0.646
145,13,0.537,0.658
144,14,0.536,0.674
143,15,0.537,0.684
142,16,0.538,0.699
141,17,0.544,0.733
140,18,0.55,0.775
139,19,0.552,0.783
138,20,0.553,0.794
137,21,0.555,0.839
136,22,0.55,0.884
135,23,0.552,0.908
134,24,0.555,0.938
133,25,0.557,0.961
132,26,0.559,0.997
131,27,0.56,1.021
130,28,0.561,1.068
129,29,0.566,1.099
128,30,0.568,1.133
127,31,0.569,1.167
126,32,0.572,1.211
125,33,0.574,1.221
124,34,0.573,1.243
123,35,0.575,1.259
122,36,0.575,1.285
121,37,0.578,1.309
120,38,0.578,1.331
119,39,0.581,1.373
118,40,0.584,1.413
117,41,0.584,1.456
116,42,0.591,1.492
115,43,0.591,1.514
114,44,0.589,1.563
113,45,0.592,1.602
112,46,0.596,1.647
111,47,0.595,1.698
110,48,0.597,1.776
109,49,0.6,1.815
108,50,0.598,1.833
107,51,0.596,1.843
106,52,0.601,1.865
105,53,0.602,1.872
104,54,0.601,1.892
103,55,0.601,1.903
102,56,0.605,1.927
101,57,0.608,1.947
100,58,0.608,1.954
99,59,0.604,1.973
98,60,0.601,1.992
97,61,0.601,2.012
96,62,0.599,2.048
95,63,0.599,2.075
94,64,0.598,2.103
93,65,0.601,2.158
92,66,0.602,2.212
91,67,0.595,2.245
90,68,0.601,2.278
89,69,0.6,2.293
88,70,0.598,2.323
87,71,0.597,2.348
86,72,0.597,2.367
85,73,0.598,2.383
84,74,0.597,2.398
83,75,0.599,2.447
82,76,0.603,2.482
81,77,0.596,2.529
80,78,0.598,2.556
79,79,0.599,2.582
78,80,0.597,2.648
77,81,0.599,2.664
76,82,0.599,2.702
75,83,0.59,2.749
74,84,0.589,2.768
73,85,0.59,2.8
72,86,0.59,2.84
71,87,0.591,2.875
70,88,0.59,2.897
69,89,0.593,2.933
68,90,0.596,2.952
67,91,0.598,3.002
66,92,0.591,3.058
65,93,0.58,3.091
64,94,0.583,3.123
63,95,0.581,3.148
62,96,0.573,3.209
61,97,0.573,3.244
60,98,0.569,3.28
59,99,0.571,3.325
58,100,0.571,3.4
57,101,0.566,3.438
56,102,0.553,3.506
55,103,0.557,3.572
54,104,0.552,3.651
53,105,0.543,3.768
52,106,0.544,3.799
51,107,0.548,3.833
50,108,0.547,3.857
49,109,0.547,3.877
48,110,0.549,3.897
47,111,0.548,3.906
46,112,0.546,3.916
45,113,0.545,3.935
44,114,0.543,3.955
43,115,0.544,3.977
42,116,0.542,3.989
41,117,0.54,4.02
40,118,0.54,4.037
39,119,0.541,4.075
38,120,0.54,4.13
37,121,0.539,4.175
36,122,0.539,4.208
35,123,0.529,4.268
34,124,0.529,4.329
33,125,0.525,4.405
32,126,0.522,4.465
31,127,0.523,4.519
30,128,0.52,4.561
29,129,0.521,4.592
28,130,0.518,4.626
27,131,0.512,4.673
26,132,0.506,4.75
25,133,0.504,4.796
24,134,0.495,4.826
23,135,0.477,4.854
22,136,0.469,4.875
21,137,0.461,4.884
20,138,0.457,4.891
19,139,0.45,4.903
18,140,0.451,4.914
17,141,0.448,4.923
16,142,0.44,4.954
15,143,0.432,4.978
14,144,0.416,5.006
13,145,0.413,5.026
12,146,0.414,5.038
11,147,0.411,5.049
10,148,0.41,5.056
9,149,0.409,5.062
8,150,0.406,5.079
7,151,0.404,5.094
6,152,0.396,5.118
5,153,0.393,5.133
4,154,0.387,5.165
3,155,0.381,5.202
2,156,0.38,5.228
1,157,0.375,5.256
