actual, ,X,Y
38,1,0.671,0.172
37,2,0.669,0.213
36,3,0.667,0.228
35,4,0.665,0.272
34,5,0.665,0.292
33,6,0.665,0.309
32,7,0.666,0.328
31,8,0.665,0.362
30,9,0.668,0.385
29,10,0.669,0.422
28,11,0.665,0.464
27,12,0.668,0.485
26,13,0.67,0.527
25,14,0.67,0.541
24,15,0.67,0.546
23,16,0.67,0.589
22,17,0.668,0.611
21,18,0.668,0.62
20,19,0.668,0.627
19,20,0.667,0.64
18,21,0.666,0.666
17,22,0.666,0.684
16,23,0.667,0.716
15,24,0.667,0.752
14,25,0.669,0.786
13,26,0.67,0.807
12,27,0.67,0.812
11,28,0.669,0.82
10,29,0.676,0.85
9,30,0.666,0.88
8,31,0.657,0.91
7,32,0.659,0.928
6,33,0.659,0.954
5,34,0.655,0.975
4,35,0.657,0.988
3,36,0.655,1.014
2,37,0.648,1.051
1,38,0.638,1.099
