spcode,species_names,cmn_name
PIAR5,P. arizonica,Ponderosa
PICE,P. cembroides,Pinyon
PIED,P. edulis,Pinyon
PIPO,P. ponderosa,Ponderosa
PIST3,P. strobiformis,Strobiformis
