STATION,STATION_NAME,DATE,TPCP
COOP:410950,BOQUILLAS RANGER STATION TX US,194903,0
COOP:410950,BOQUILLAS RANGER STATION TX US,194904,44.4
COOP:410950,BOQUILLAS RANGER STATION TX US,194905,33.8
COOP:410950,BOQUILLAS RANGER STATION TX US,194906,20.3
COOP:410950,BOQUILLAS RANGER STATION TX US,195202,1.5
COOP:410950,BOQUILLAS RANGER STATION TX US,195203,0.5
COOP:410950,BOQUILLAS RANGER STATION TX US,195204,14.5
COOP:410950,BOQUILLAS RANGER STATION TX US,195205,31
COOP:410950,BOQUILLAS RANGER STATION TX US,195206,11.2
COOP:410950,BOQUILLAS RANGER STATION TX US,195207,24.6
COOP:410950,BOQUILLAS RANGER STATION TX US,195208,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195209,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195210,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195211,4.8
COOP:410950,BOQUILLAS RANGER STATION TX US,195212,15.7
COOP:410950,BOQUILLAS RANGER STATION TX US,195301,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195302,6.4
COOP:410950,BOQUILLAS RANGER STATION TX US,195303,23.1
COOP:410950,BOQUILLAS RANGER STATION TX US,195304,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195305,7.9
COOP:410950,BOQUILLAS RANGER STATION TX US,195306,7.4
COOP:410950,BOQUILLAS RANGER STATION TX US,195307,22.1
COOP:410950,BOQUILLAS RANGER STATION TX US,195308,2.5
COOP:410950,BOQUILLAS RANGER STATION TX US,195309,7.1
COOP:410950,BOQUILLAS RANGER STATION TX US,195310,23.6
COOP:410950,BOQUILLAS RANGER STATION TX US,195311,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195312,2
COOP:410950,BOQUILLAS RANGER STATION TX US,195401,5.3
COOP:410950,BOQUILLAS RANGER STATION TX US,195402,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195403,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195404,73.9
COOP:410950,BOQUILLAS RANGER STATION TX US,195405,42.9
COOP:410950,BOQUILLAS RANGER STATION TX US,195406,95
COOP:410950,BOQUILLAS RANGER STATION TX US,195407,29.2
COOP:410950,BOQUILLAS RANGER STATION TX US,195408,43.9
COOP:410950,BOQUILLAS RANGER STATION TX US,195409,4.3
COOP:410950,BOQUILLAS RANGER STATION TX US,195410,2
COOP:410950,BOQUILLAS RANGER STATION TX US,195411,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195412,0.3
COOP:410950,BOQUILLAS RANGER STATION TX US,195501,10.7
COOP:410950,BOQUILLAS RANGER STATION TX US,195502,0.5
COOP:410950,BOQUILLAS RANGER STATION TX US,195503,6.1
COOP:410950,BOQUILLAS RANGER STATION TX US,195504,0
COOP:410950,BOQUILLAS RANGER STATION TX US,195505,4.6
COOP:410950,BOQUILLAS RANGER STATION TX US,195506,35.6
COOP:410950,BOQUILLAS RANGER STATION TX US,195507,59.9
COOP:410950,BOQUILLAS RANGER STATION TX US,195508,24.1
COOP:410950,BOQUILLAS RANGER STATION TX US,195509,35.8
COOP:410950,BOQUILLAS RANGER STATION TX US,195510,20.6
COOP:410950,BOQUILLAS RANGER STATION TX US,195511,8.4
