Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
5,189501,0.33,45.9,0.11,0.11,0.34,0.11,0,592,0.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,29.2,62.5
5,189502,0.72,41.9,0.63,0.63,1.57,0.63,0,647,0.79,0.39,-99.99,-99.99,-99.99,-99.99,-99.99,27.2,56.6
5,189503,0.01,56.4,0.95,0.95,1.16,0.95,11,278,-1.84,0.15,-0.03,-99.99,-99.99,-99.99,-99.99,40.2,72.7
5,189504,0.13,64.1,1.79,1.79,2.82,1.79,65,92,-0.85,-1.96,-0.3,-99.99,-99.99,-99.99,-99.99,48.2,80.1
5,189505,3.23,68.7,4.3,4.3,8.09,4.3,139,24,2.04,1.45,1.1,-99.99,-99.99,-99.99,-99.99,52.6,84.8
5,189506,1.99,77.9,5.81,5.81,5.86,5.81,387,0,0.71,1.8,1.4,1.01,-99.99,-99.99,-99.99,64.7,91.2
5,189507,3.67,78.6,7.25,7.25,6.12,7.25,422,0,1.46,1.62,2.44,1.67,-99.99,-99.99,-99.99,66.1,91.1
5,189508,3.59,77.2,8.02,8.02,4.55,8.02,378,0,1.46,1.88,2.04,2.04,-99.99,-99.99,-99.99,62.1,92.4
5,189509,1.15,72.8,6.82,6.82,-1.14,6.35,240,6,-0.37,0.61,1.12,1.57,1.34,-99.99,-99.99,57,88.6
5,189510,1.87,60.5,6.65,6.65,1.62,6.65,21,161,0.71,0.1,0.72,1.73,1.47,-99.99,-99.99,44.8,76.2
5,189511,0.77,50.5,6.24,6.24,0.81,6.24,0,435,0.59,0.73,0.19,1.29,1.43,-99.99,-99.99,33.6,67.4
5,189512,0.16,48,-0.37,5.22,-1.12,4.76,0,527,-0.54,0.06,0.47,1.08,1.46,1.28,-99.99,32.6,63.4
5,189601,0.29,45.6,-0.59,4.43,-0.77,3.64,0,601,-0.06,-0.62,-0.15,0.56,1.56,1.32,-99.99,28.4,62.8
5,189602,0.34,47.8,-0.68,3.82,-0.46,2.82,0,482,0.11,-0.2,-0.55,-0.12,1.05,1.22,-99.99,31.8,63.8
5,189603,0.02,58.3,-1.18,2.86,-1.71,1.23,19,226,-1.49,-0.54,-0.6,0.01,0.83,1.24,-99.99,41.2,75.5
5,189604,0.1,68.2,-1.65,1.97,-1.77,-0.23,132,36,-1.07,-3.04,-1.06,-0.67,0.25,1.24,-99.99,52.3,84.1
5,189605,0.06,79,-2.81,-2.81,-3.99,-2.81,434,0,-1.96,-2.59,-3.09,-2.28,-0.81,0.52,-99.99,63.8,94.1
5,189606,1.29,82,-2.87,-2.87,-1.03,-2.87,510,0,-0.05,-0.99,-1.22,-1.35,-0.64,0.33,-99.99,66.7,97.2
5,189607,0.83,78.8,-3.23,-3.23,-1.96,-3.23,428,0,-1.24,-1.07,-1.61,-1.83,-1.56,-0.45,-99.99,66.6,91
5,189608,0.29,77.9,-3.93,-3.93,-3.1,-3.93,400,0,-2.55,-2.55,-1.95,-2.54,-2.71,-1.56,-99.99,64.3,91.4
5,189609,2.5,72.6,0.23,-3.29,0.68,-2.97,235,7,0.59,-0.38,-0.96,-1.44,-1.52,-1.07,-99.99,59.9,85.2
5,189610,4.85,61,2.62,2.62,7.25,2.62,25,149,2.31,1.73,1.06,0.14,-0.16,-0.2,-99.99,50.4,71.6
5,189611,0.06,53,2.39,2.39,0.12,2.38,0,363,-0.81,1.97,1.52,0.31,-0.26,-0.41,-99.99,37.3,68.7
5,189612,0.38,46.7,2.06,2.06,-0.25,1.87,0,567,0.07,-0.65,1.84,0.36,-0.19,-0.34,0.58,31.5,62
5,189701,0.14,41.1,1.67,1.67,-0.54,1.19,0,741,-0.57,-0.47,-0.94,0.69,-0.17,-0.42,0.55,27.4,54.7
5,189702,0,50.3,1.05,1.05,-1.35,-0.05,0,412,-1.38,-1.29,-0.97,1.13,0.04,-0.51,0.46,31.8,68.7
5,189703,0.33,55.8,0.89,0.89,-0.16,-0.27,9,294,0.26,-0.62,-0.92,1.14,0.08,-0.43,0.5,35.7,75.8
5,189704,0.53,62.7,1.01,1.01,0.65,0.13,46,115,0.33,0.25,-0.3,-0.89,0.49,-0.28,0.58,42.1,83.4
5,189705,1.53,70.1,1.44,1.44,1.6,1.05,173,15,0.64,0.54,0.47,-0.13,1.04,0.19,0.31,52.6,87.6
5,189706,2.24,78.2,2.18,2.18,2.65,2.18,396,0,0.94,0.91,0.8,0.27,1.2,0.43,0.35,62.1,94.2
5,189707,1.41,79.9,1.79,1.79,-0.49,1.5,462,0,-0.4,0.24,0.42,0.12,-0.22,0.53,-0.06,62.9,96.9
5,189708,2.71,75.9,2.32,2.32,2.16,2.32,338,0,0.89,0.33,0.67,0.65,0.3,1.06,-0.2,60.9,90.8
5,189709,1.95,70.4,0.04,2.12,0.11,2.1,177,15,0.26,0.57,0.22,0.53,0.24,0.95,-0.02,54.8,86
5,189710,0.82,66.5,-0.45,1.45,-1.35,0.77,99,53,-0.23,-0.04,0.31,0.41,0.22,-0.03,-0.2,49.8,83.1
5,189711,0.09,55.3,-0.88,0.83,-1.43,-0.52,7,298,-0.73,-0.67,-0.3,0.11,0.23,-0.03,-0.35,37,73.6
5,189712,0.01,43.9,-1.16,-1.16,-1.12,-1.16,0,654,-1.22,-1.31,-1.05,-0.33,0.09,-0.13,-0.42,29.3,58.5
5,189801,0.16,45.2,-1.4,-1.4,-1.08,-1.4,0,614,-0.48,-1.38,-1.44,-0.21,-0.01,-0.15,-0.46,28.1,62.3
5,189802,0.05,51.6,-1.81,-1.81,-1.66,-1.81,0,375,-0.93,-1.08,-1.55,-0.9,-0.25,-0.11,-0.51,35.8,67.3
5,189803,0.24,55.9,-1.96,-1.96,-1.02,-1.96,9,292,0,-0.73,-0.96,-1.3,-0.6,-0.16,-0.49,41.9,69.9
5,189804,0.89,63.6,-1.56,-1.56,0.6,-1.21,58,100,0.87,0.56,0.09,-0.89,-0.22,-0.03,-0.37,47.4,79.8
