spcode,variable,measured,p_value
all,BAF,duct.den.mean,0.287
all,BAF,duct.count.mean,0.0016
all,BAF,ring.width.mean,0.0013
all,BAF,bai.mean,0.003
all,max.age,duct.den.mean,0.0385
all,max.age,duct.count.mean,0.0001
all,max.age,ring.width.mean,0.0001
all,max.age,bai.mean,0.3039
all,elev,duct.den.mean,0.6788
all,elev,duct.count.mean,0.6455
all,elev,ring.width.mean,0.8988
all,elev,bai.mean,0.9432
all,radiation,duct.den.mean,0.5738
all,radiation,duct.count.mean,0.4763
all,radiation,ring.width.mean,0.1147
all,radiation,bai.mean,0.0403
all,slope,duct.den.mean,0.4328
all,slope,duct.count.mean,0.005
all,slope,ring.width.mean,0.0498
all,slope,bai.mean,0.6342
all,ldist_valley2,duct.den.mean,0.9693
all,ldist_valley2,duct.count.mean,0.0027
all,ldist_valley2,ring.width.mean,0.0039
all,ldist_valley2,bai.mean,0.2416
PIST3,BAF,duct.den.mean,0.7566
PIST3,BAF,duct.count.mean,0.0748
PIST3,BAF,ring.width.mean,0.1175
PIST3,BAF,bai.mean,0.0727
PIST3,max.age,duct.den.mean,0.425
PIST3,max.age,duct.count.mean,0.0048
PIST3,max.age,ring.width.mean,0.0294
PIST3,max.age,bai.mean,0.6675
PIST3,elev,duct.den.mean,0.9709
PIST3,elev,duct.count.mean,0.2335
PIST3,elev,ring.width.mean,0.099
PIST3,elev,bai.mean,0.044
PIST3,radiation,duct.den.mean,0.4382
PIST3,radiation,duct.count.mean,0.0513
PIST3,radiation,ring.width.mean,0.0463
PIST3,radiation,bai.mean,0.0642
PIST3,slope,duct.den.mean,0.381
PIST3,slope,duct.count.mean,0.9438
PIST3,slope,ring.width.mean,0.4866
PIST3,slope,bai.mean,0.4119
PIST3,ldist_valley2,duct.den.mean,0.7784
PIST3,ldist_valley2,duct.count.mean,0.0445
PIST3,ldist_valley2,ring.width.mean,0.0627
PIST3,ldist_valley2,bai.mean+BB26:C49,0.4104
ponderosa,BAF,duct.den.mean,0.164
ponderosa,BAF,duct.count.mean,0.0032
ponderosa,BAF,ring.width.mean,0.002
ponderosa,BAF,bai.mean,0.0054
ponderosa,max.age,duct.den.mean,0.3195
ponderosa,max.age,duct.count.mean,0.0001
ponderosa,max.age,ring.width.mean,0.0012
ponderosa,max.age,bai.mean,0.399
ponderosa,elev,duct.den.mean,0.491
ponderosa,elev,duct.count.mean,0.3431
ponderosa,elev,ring.width.mean,0.3957
ponderosa,elev,bai.mean,0.4295
ponderosa,radiation,duct.den.mean,0.8875
ponderosa,radiation,duct.count.mean,0.5752
ponderosa,radiation,ring.width.mean,0.567
ponderosa,radiation,bai.mean,0.3231
ponderosa,slope,duct.den.mean,0.927
ponderosa,slope,duct.count.mean,0.0328
ponderosa,slope,ring.width.mean,0.1402
ponderosa,slope,bai.mean,0.4783
ponderosa,ldist_valley2,duct.den.mean,0.4989
ponderosa,ldist_valley2,duct.count.mean,0.0012
ponderosa,ldist_valley2,ring.width.mean,0.0047
ponderosa,ldist_valley2,bai.mean,0.1566
pinyon,BAF,duct.den.mean,0.2439
pinyon,BAF,duct.count.mean,0.813
pinyon,BAF,ring.width.mean,0.5596
pinyon,BAF,bai.mean,0.3276
pinyon,max.age,duct.den.mean,0.1916
pinyon,max.age,duct.count.mean,0.0001
pinyon,max.age,ring.width.mean,0.0001
pinyon,max.age,bai.mean,0.365
pinyon,elev,duct.den.mean,0.4604
pinyon,elev,duct.count.mean,0.1366
pinyon,elev,ring.width.mean,0.0849
pinyon,elev,bai.mean,0.0393
pinyon,radiation,duct.den.mean,0.6757
pinyon,radiation,duct.count.mean,0.929
pinyon,radiation,ring.width.mean,0.3283
pinyon,radiation,bai.mean,0.2059
pinyon,slope,duct.den.mean,0.1787
pinyon,slope,duct.count.mean,0.0714
pinyon,slope,ring.width.mean,0.0155
pinyon,slope,bai.mean,0.1845
pinyon,ldist_valley2,duct.den.mean,0.279
pinyon,ldist_valley2,duct.count.mean,0.774
pinyon,ldist_valley2,ring.width.mean,0.5477
pinyon,ldist_valley2,bai.mean,0.1536
PICE,BAF,duct.den.mean,0.2458
PICE,BAF,duct.count.mean,0.3032
PICE,BAF,ring.width.mean,0.1676
PICE,BAF,bai.mean,0.5558
PICE,max.age,duct.den.mean,0.2935
PICE,max.age,duct.count.mean,0.0042
PICE,max.age,ring.width.mean,0.0205
PICE,max.age,bai.mean,0.3911
PICE,elev,duct.den.mean,0.1382
PICE,elev,duct.count.mean,0.0015
PICE,elev,ring.width.mean,0.0001
PICE,elev,bai.mean,0.0031
PICE,radiation,duct.den.mean,0.7878
PICE,radiation,duct.count.mean,0.4941
PICE,radiation,ring.width.mean,0.5966
PICE,radiation,bai.mean,0.2866
PICE,slope,duct.den.mean,0.4421
PICE,slope,duct.count.mean,0.1298
PICE,slope,ring.width.mean,0.1236
PICE,slope,bai.mean,0.9879
PICE,ldist_valley2,duct.den.mean,0.1467
PICE,ldist_valley2,duct.count.mean,0.2224
PICE,ldist_valley2,ring.width.mean,0.0355
PICE,ldist_valley2,bai.mean,0.0352
PIED,BAF,duct.den.mean,0.9508
PIED,BAF,duct.count.mean,0.1233
PIED,BAF,ring.width.mean,0.1676
PIED,BAF,bai.mean,0.6
PIED,max.age,duct.den.mean,0.4859
PIED,max.age,duct.count.mean,0.0085
PIED,max.age,ring.width.mean,0.0074
PIED,max.age,bai.mean,0.6313
PIED,elev,duct.den.mean,0.9203
PIED,elev,duct.count.mean,0.6184
PIED,elev,ring.width.mean,0.7116
PIED,elev,bai.mean,0.5757
PIED,radiation,duct.den.mean,0.3861
PIED,radiation,duct.count.mean,0.2527
PIED,radiation,ring.width.mean,0.5398
PIED,radiation,bai.mean,0.642
PIED,slope,duct.den.mean,0.2001
PIED,slope,duct.count.mean,0.2519
PIED,slope,ring.width.mean,0.0497
PIED,slope,bai.mean,0.002
PIED,ldist_valley2,duct.den.mean,0.9949
PIED,ldist_valley2,duct.count.mean,0.0181
PIED,ldist_valley2,ring.width.mean,0.0494
PIED,ldist_valley2,bai.mean,0.6389
PIPO,BAF,duct.den.mean,0.7285
PIPO,BAF,duct.count.mean,0.0057
PIPO,BAF,ring.width.mean,0.0147
PIPO,BAF,bai.mean,0.101
PIPO,max.age,duct.den.mean,0.0905
PIPO,max.age,duct.count.mean,0.0009
PIPO,max.age,ring.width.mean,0.0009
PIPO,max.age,bai.mean,0.7351
PIPO,elev,duct.den.mean,0.734
PIPO,elev,duct.count.mean,0.6067
PIPO,elev,ring.width.mean,0.7758
PIPO,elev,bai.mean,0.9916
PIPO,radiation,duct.den.mean,0.9507
PIPO,radiation,duct.count.mean,0.4464
PIPO,radiation,ring.width.mean,0.4651
PIPO,radiation,bai.mean,0.3402
PIPO,slope,duct.den.mean,0.5831
PIPO,slope,duct.count.mean,0.1549
PIPO,slope,ring.width.mean,0.2526
PIPO,slope,bai.mean,0.9605
PIPO,ldist_valley2,duct.den.mean,0.3829
PIPO,ldist_valley2,duct.count.mean,0.0072
PIPO,ldist_valley2,ring.width.mean,0.0265
PIPO,ldist_valley2,bai.mean,0.2072
PIAR5,BAF,duct.den.mean,0.1139
PIAR5,BAF,duct.count.mean,0.9659
PIAR5,BAF,ring.width.mean,0.1131
PIAR5,BAF,bai.mean,0.0438
PIAR5,max.age,duct.den.mean,0.3942
PIAR5,max.age,duct.count.mean,0.5676
PIAR5,max.age,ring.width.mean,0.5126
PIAR5,max.age,bai.mean,0.0106
PIAR5,elev,duct.den.mean,0.8612
PIAR5,elev,duct.count.mean,0.0081
PIAR5,elev,ring.width.mean,0.152
PIAR5,elev,bai.mean,0.2973
PIAR5,radiation,duct.den.mean,0.5046
PIAR5,radiation,duct.count.mean,0.5017
PIAR5,radiation,ring.width.mean,0.7976
PIAR5,radiation,bai.mean,0.6256
PIAR5,slope,duct.den.mean,0.8474
PIAR5,slope,duct.count.mean,0.0256
PIAR5,slope,ring.width.mean,0.4004
PIAR5,slope,bai.mean,0.4089
PIAR5,ldist_valley2,duct.den.mean,0.7224
PIAR5,ldist_valley2,duct.count.mean,0.023
PIAR5,ldist_valley2,ring.width.mean,0.2095
PIAR5,ldist_valley2,bai.mean,0.3728
