,Area,Mean,min,max
1,1.37E-05,163.193,122,189
2,3.33E-05,164.977,123,193
3,1.88E-05,161.406,140,188
4,1.30E-05,193.233,166,222
5,2.05E-05,180.21,138,211
6,2.93E-05,176.947,149,211
7,2.58E-05,180.068,152,211
8,8.69E-06,194.135,160,219
9,4.25E-05,181.391,147,210
10,4.73E-05,179.285,139,208
11,1.72E-05,194.881,173,220
12,2.70E-05,192.21,157,218
13,4.38E-05,183.67,140,218
14,3.56E-05,199.577,165,225
15,3.13E-05,177.481,146,202
16,2.27E-05,179.664,123,242
17,2.86E-05,177.601,149,211
18,3.33E-05,164.977,123,193
,,,,
,,,,
,,,,
,,,,
