,Area,Mean,min,max
1,2.93E-05,186.307,172,197
2,2.23E-05,190.066,172,201
3,1.76E-05,193.139,181,200
4,2.42E-05,188.085,177,197
5,2.14E-05,199.046,192,207
6,4.22E-05,192.387,185,200
7,1.60E-05,191.195,176,198
8,3.57E-05,198.432,190,206
9,2.81E-05,176.365,171,182
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
