,Area,Mean,min,max
1,3.32E-05,181.05,155,199
2,2.85E-05,173.243,167,183
3,1.95E-05,186.5,177,194
4,3.26E-05,164.97,153,173
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
