,Area,Mean,min,max
1,1.99E-05,164.534,156,171
2,3.20E-05,169.195,158,180
3,1.84E-05,169.601,149,181
4,2.54E-05,170.058,157,180
5,5.20E-05,168.276,143,182
6,3.95E-05,176.609,157,188
7,3.71E-05,170.529,154,180
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
