,Area,Mean,min,max
1,3.13E-05,171.25,159,180
2,1.72E-05,188.188,180,195
3,1.33E-05,207.985,187,218
4,2.54E-05,174.596,159,184
5,2.38E-05,170.291,150,178
6,2.85E-05,190.062,183,196
7,1.56E-05,182.231,169,192
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
