 ,X,Y,resin.duct.count
1,0.811,1.76,NA
2,0.794,1.757,NA
3,0.765,1.757,NA
4,0.719,1.746,NA
5,0.691,1.727,NA
6,0.628,1.673,3
7,0.614,1.65,7
8,0.601,1.647,1
9,0.587,1.643,0
10,0.583,1.637,2
11,0.572,1.615,6
12,0.562,1.603,9
13,0.529,1.564,8
14,0.509,1.495,14
15,0.511,1.472,4
16,0.52,1.427,13
17,0.515,1.384,11
18,0.513,1.326,7
19,0.51,1.296,3
20,0.501,1.28,2
21,0.497,1.271,5
22,0.495,1.244,6
23,0.513,1.196,4
24,0.506,1.192,8
25,0.505,1.182,1
26,0.504,1.176,7
27,0.501,1.156,8
28,0.498,1.144,4
29,0.492,1.129,6
30,0.485,1.113,10
31,0.482,1.088,2
32,0.477,1.073,8
33,0.475,1.066,5
34,0.473,1.057,0
35,0.477,1.027,8
36,0.476,1.015,1
37,0.476,0.999,11
38,0.474,0.974,3
39,0.473,0.962,6
40,0.473,0.954,7
41,0.471,0.939,5
42,0.472,0.928,2
43,0.471,0.911,0
44,0.471,0.896,4
45,0.47,0.883,1
46,0.467,0.868,1
47,0.467,0.863,0
48,0.468,0.85,2
49,0.468,0.831,6
50,0.467,0.816,6
51,0.461,0.786,2
52,0.461,0.776,2
53,0.458,0.755,1
54,0.458,0.746,5
55,0.458,0.726,2
56,0.459,0.71,0
57,0.46,0.698,9
58,0.462,0.673,1
59,0.463,0.663,6
60,0.471,0.649,2
61,0.467,0.643,4
62,0.467,0.624,4
63,0.468,0.591,2
64,0.47,0.575,1
65,0.469,0.571,7
66,0.458,0.557,0
67,0.457,0.538,0
68,0.46,0.534,1
69,0.46,0.528,5
70,0.455,0.488,6
71,0.458,0.446,5
72,0.46,0.411,3
73,0.46,0.401,8
74,0.459,0.37,3
75,0.469,0.361,6
76,0.471,0.349,3
77,0.473,0.34,3
78,0.473,0.331,5
79,0.473,0.303,3
80,0.459,0.294,5
81,0.459,0.281,4
82,0.462,0.264,5
83,0.46,0.247,1
84,0.46,0.216,5
85,0.463,0.2,1
86,0.463,0.192,7
87,0.463,0.181,4
88,0.462,0.168,
