 ,X,Y,resin.duct.count
1,0.304,2.443,NA
2,0.324,2.439,NA
3,0.352,2.443,NA
4,0.383,2.443,NA
5,0.413,2.436,NA
6,0.427,2.398,5
7,0.443,2.387,4
8,0.461,2.364,14
9,0.491,2.319,4
10,0.505,2.302,3
11,0.52,2.284,10
12,0.529,2.261,6
13,0.535,2.231,10
14,0.557,2.199,23
15,0.574,2.105,22
16,0.59,2.038,36
17,0.61,1.967,14
18,0.617,1.938,25
19,0.627,1.899,12
20,0.636,1.883,6
21,0.644,1.874,12
22,0.65,1.856,13
23,0.659,1.842,14
24,0.651,1.805,12
25,0.649,1.753,12
26,0.666,1.726,16
27,0.669,1.704,15
28,0.672,1.659,2
29,0.673,1.648,13
30,0.662,1.608,11
31,0.664,1.562,15
32,0.674,1.517,10
33,0.669,1.436,9
34,0.662,1.388,19
35,0.653,1.321,15
36,0.65,1.272,11
37,0.657,1.216,7
38,0.655,1.149,2
39,0.657,1.106,15
40,0.658,1.046,9
41,0.657,1.001,13
42,0.663,0.948,17
43,0.664,0.897,1
44,0.666,0.876,14
45,0.67,0.828,4
46,0.675,0.8,17
47,0.674,0.764,10
48,0.673,0.732,8
49,0.676,0.702,10
50,0.681,0.671,12
51,0.684,0.624,3
52,0.685,0.603,7
53,0.683,0.581,9
54,0.684,0.556,8
55,0.69,0.523,4
56,0.683,0.504,8
57,0.687,0.492,1
58,0.689,0.484,14
59,0.693,0.462,10
60,0.696,0.444,14
61,0.704,0.42,11
62,0.706,0.399,9
63,0.706,0.374,1
64,0.706,0.364,4
65,0.706,0.346,11
66,0.712,0.325,3
67,0.716,0.301,5
68,0.717,0.274,3
69,0.719,0.255,13
70,0.725,0.211,
