 ,X,Y,resin.duct.count
1,0.398,3.565,0
2,0.397,3.553,11
3,0.396,3.519,16
4,0.403,3.464,20
5,0.41,3.422,15
6,0.402,3.403,20
7,0.398,3.37,21
8,0.385,3.291,8
9,0.378,3.259,16
10,0.372,3.204,10
11,0.367,3.172,17
12,0.349,3.104,9
13,0.349,3.043,28
14,0.335,2.917,12
15,0.34,2.85,17
16,0.328,2.737,19
17,0.331,2.646,13
18,0.319,2.567,17
19,0.324,2.46,18
20,0.34,2.34,23
21,0.348,2.208,21
22,0.345,2.062,10
23,0.346,1.98,7
24,0.349,1.94,9
25,0.343,1.872,13
26,0.348,1.784,25
27,0.366,1.626,16
28,0.369,1.516,0
29,0.375,1.47,7
30,0.386,1.429,4
31,0.385,1.406,13
32,0.371,1.346,0
33,0.371,1.326,4
34,0.367,1.288,11
35,0.368,1.258,4
36,0.374,1.229,8
37,0.383,1.208,15
38,0.367,1.138,10
39,0.376,1.076,6
40,0.371,1.033,18
41,0.361,0.925,1
42,0.354,0.875,19
43,0.343,0.806,13
44,0.346,0.696,0
45,0.344,0.684,10
46,0.343,0.584,22
47,0.335,0.473,8
48,0.341,0.418,20
49,0.339,0.314,
