 ,X,Y,resin.duct.count
1,0.759,1.458,0
2,0.758,1.452,4
3,0.764,1.418,3
4,0.764,1.406,6
5,0.765,1.401,7
6,0.765,1.393,8
7,0.766,1.377,12
8,0.767,1.36,18
9,0.768,1.331,20
10,0.771,1.289,20
11,0.775,1.265,21
12,0.767,1.234,7
13,0.772,1.208,14
14,0.754,1.182,8
15,0.759,1.167,9
16,0.754,1.157,8
17,0.755,1.137,17
18,0.757,1.122,3
19,0.753,1.111,5
20,0.754,1.098,5
21,0.753,1.088,4
22,0.753,1.078,5
23,0.754,1.067,12
24,0.755,1.054,11
25,0.754,1.041,5
26,0.75,1.034,0
27,0.75,1.028,7
28,0.756,1.018,10
29,0.754,1.01,7
30,0.77,0.996,2
31,0.759,0.989,17
32,0.76,0.973,4
33,0.759,0.96,10
34,0.76,0.946,3
35,0.752,0.93,8
36,0.752,0.917,8
37,0.75,0.899,7
38,0.753,0.878,1
39,0.752,0.867,9
40,0.748,0.848,9
41,0.751,0.831,4
42,0.753,0.81,8
43,0.752,0.788,3
44,0.742,0.773,12
45,0.74,0.733,6
46,0.741,0.702,4
47,0.742,0.678,8
48,0.74,0.656,14
49,0.743,0.625,0
50,0.743,0.605,16
51,0.743,0.573,11
52,0.74,0.542,3
53,0.738,0.519,5
54,0.738,0.495,10
55,0.742,0.473,11
56,0.732,0.424,5
57,0.745,0.394,16
58,0.759,0.352,12
59,0.756,0.301,0
60,0.756,0.293,8
61,0.761,0.243,0
62,0.763,0.226,2
63,0.763,0.202,16
64,0.766,0.149,
