 ,X,Y,resin.duct.count
1,0.468,4.182,0
2,0.457,4.152,4
3,0.447,4.117,3
4,0.429,4.059,6
5,0.406,4.015,4
6,0.39,3.996,5
7,0.386,3.971,8
8,0.397,3.932,10
9,0.385,3.908,2
10,0.371,3.89,5
11,0.365,3.865,4
12,0.362,3.851,8
13,0.352,3.809,8
14,0.349,3.781,4
15,0.347,3.757,2
16,0.345,3.723,12
17,0.339,3.704,5
18,0.338,3.693,4
19,0.342,3.673,6
20,0.34,3.667,10
21,0.338,3.608,9
22,0.331,3.564,8
23,0.331,3.513,1
24,0.335,3.465,5
25,0.329,3.433,0
26,0.326,3.413,4
27,0.324,3.392,2
28,0.322,3.374,3
29,0.321,3.36,4
30,0.319,3.351,7
31,0.314,3.318,7
32,0.311,3.297,3
33,0.302,3.232,7
34,0.3,3.227,5
35,0.3,3.209,4
36,0.297,3.199,8
37,0.298,3.171,0
38,0.296,3.145,10
39,0.292,3.121,4
40,0.294,3.106,3
41,0.292,3.094,1
42,0.289,3.082,1
43,0.293,3.048,2
44,0.292,3.039,4
45,0.282,2.994,2
46,0.28,2.978,5
47,0.273,2.942,2
48,0.27,2.92,6
49,0.267,2.899,0
50,0.264,2.897,7
51,0.264,2.891,1
52,0.263,2.882,4
53,0.261,2.866,3
54,0.258,2.84,1
55,0.255,2.824,0
56,0.253,2.812,11
57,0.252,2.8,13
58,0.236,2.741,15
59,0.221,2.622,11
60,0.21,2.542,2
61,0.206,2.518,1
62,0.201,2.512,9
63,0.204,2.5,5
64,0.21,2.482,5
65,0.198,2.465,3
66,0.196,2.45,2
67,0.196,2.446,5
68,0.193,2.421,5
69,0.194,2.406,2
70,0.192,2.4,1
71,0.193,2.395,7
72,0.192,2.391,5
73,0.191,2.381,3
74,0.19,2.375,2
75,0.188,2.366,7
76,0.187,2.36,6
77,0.189,2.344,3
78,0.189,2.335,1
79,0.189,2.329,8
80,0.188,2.311,8
81,0.185,2.288,3
82,0.184,2.271,5
83,0.179,2.247,0
84,0.182,2.233,5
85,0.184,2.218,2
86,0.178,2.195,13
87,0.177,2.127,8
88,0.176,2.1,0
89,0.172,2.034,15
90,0.174,1.99,1
91,0.174,1.955,5
92,0.173,1.946,7
93,0.168,1.907,4
94,0.167,1.898,1
95,0.168,1.886,4
96,0.163,1.855,7
97,0.165,1.839,5
98,0.153,1.813,6
99,0.15,1.774,5
100,0.147,1.767,2
101,0.144,1.757,6
102,0.143,1.724,3
103,0.138,1.701,3
104,0.131,1.666,3
105,0.131,1.648,5
106,0.138,1.597,6
107,0.139,1.563,4
108,0.14,1.528,5
109,0.142,1.506,7
110,0.142,1.475,5
111,0.143,1.461,5
112,0.143,1.449,8
113,0.146,1.412,6
114,0.156,1.367,7
115,0.164,1.347,9
116,0.169,1.307,1
117,0.173,1.235,2
118,0.173,1.21,2
119,0.175,1.172,8
120,0.169,1.142,2
121,0.174,1.11,7
122,0.176,1.09,6
123,0.176,1.061,1
124,0.18,1.044,5
125,0.18,0.992,1
126,0.181,0.969,6
127,0.177,0.926,1
128,0.177,0.915,5
129,0.182,0.88,8
130,0.186,0.845,0
131,0.184,0.822,2
132,0.186,0.812,5
133,0.188,0.783,2
134,0.185,0.767,0
135,0.184,0.764,3
136,0.183,0.754,6
137,0.176,0.729,1
138,0.176,0.706,7
139,0.145,0.634,2
140,0.156,0.618,1
141,0.162,0.599,3
142,0.161,0.584,9
143,0.164,0.55,0
144,0.163,0.543,6
145,0.163,0.535,1
146,0.163,0.528,7
147,0.163,0.517,3
148,0.161,0.502,10
149,0.161,0.482,6
150,0.161,0.47,6
151,0.154,0.451,1
152,0.154,0.44,0
153,0.15,0.424,0
154,0.151,0.417,7
155,0.147,0.399,1
156,0.143,0.378,2
157,0.148,0.365,9
158,0.169,0.342,0
159,0.168,0.331,6
160,0.166,0.311,11
161,0.16,0.258,
