 ,X,Y,resin.duct.count
1,0.643,1.707,0
2,0.643,1.677,16
3,0.683,1.594,11
4,0.684,1.561,1
5,0.687,1.553,5
6,0.687,1.54,17
7,0.691,1.519,10
8,0.695,1.486,8
9,0.696,1.466,11
10,0.698,1.433,4
11,0.7,1.415,2
12,0.704,1.396,7
13,0.702,1.382,14
14,0.704,1.295,2
15,0.71,1.282,3
16,0.716,1.267,1
17,0.716,1.258,4
18,0.721,1.236,1
19,0.721,1.218,4
20,0.718,1.196,3
21,0.717,1.186,3
22,0.722,1.177,4
23,0.72,1.151,4
24,0.725,1.133,1
25,0.724,1.121,4
26,0.718,1.105,4
27,0.719,1.092,4
28,0.719,1.056,8
29,0.719,1.041,0
30,0.717,0.994,1
31,0.722,0.969,4
32,0.725,0.956,1
33,0.726,0.948,3
34,0.725,0.941,2
35,0.726,0.913,6
36,0.726,0.877,5
37,0.725,0.866,1
38,0.723,0.836,4
39,0.723,0.788,2
40,0.724,0.782,5
41,0.724,0.759,4
42,0.725,0.742,8
43,0.724,0.727,0
44,0.728,0.693,3
45,0.729,0.67,6
46,0.731,0.651,8
47,0.733,0.618,5
48,0.731,0.591,7
49,0.733,0.508,12
50,0.757,0.398,4
51,0.76,0.371,2
52,0.753,0.329,2
53,0.754,0.314,8
54,0.751,0.305,0
55,0.749,0.289,0
56,0.748,0.278,7
57,0.743,0.226,7
58,0.743,0.218,0
59,0.745,0.2,4
60,0.744,0.181,1
61,0.744,0.143,
