 ,X,Y,resin.duct.count
1,0.893,3.805,0
2,0.867,3.8,9
3,0.785,3.665,30
4,0.698,3.552,32
5,0.694,3.443,28
6,0.652,3.266,33
7,0.672,3.031,33
8,0.676,2.813,13
9,0.683,2.732,28
10,0.681,2.522,27
11,0.659,2.33,28
12,0.668,2.137,18
13,0.662,1.992,20
14,0.67,1.871,8
15,0.685,1.822,23
16,0.676,1.681,7
17,0.687,1.651,11
18,0.693,1.599,14
19,0.702,1.507,16
20,0.707,1.36,10
21,0.707,1.305,28
22,0.714,1.072,15
23,0.712,0.99,12
24,0.727,0.897,27
25,0.709,0.675,6
26,0.696,0.642,25
27,0.706,0.541,11
28,0.712,0.473,16
29,0.706,0.343,14
30,0.719,0.228,
