 ,X,Y,resin.duct.count
1,0.95,3.763,NA
2,0.934,3.761,NA
3,0.869,3.741,NA
4,0.847,3.711,NA
5,0.82,3.656,11
6,0.793,3.588,13
7,0.785,3.537,4
8,0.78,3.512,28
9,0.76,3.442,2
10,0.752,3.423,18
11,0.776,3.372,2
12,0.771,3.357,18
13,0.76,3.315,11
14,0.765,3.276,15
15,0.759,3.24,5
16,0.762,3.193,13
17,0.763,3.129,8
18,0.765,3.072,6
19,0.763,3.014,1
20,0.758,2.979,12
21,0.753,2.915,0
22,0.753,2.899,13
23,0.755,2.82,0
24,0.756,2.78,7
25,0.756,2.76,0
26,0.753,2.73,0
27,0.749,2.703,3
28,0.752,2.675,16
29,0.747,2.613,0
30,0.747,2.59,8
31,0.746,2.547,7
32,0.731,2.497,3
33,0.73,2.452,1
34,0.729,2.413,12
35,0.723,2.383,0
36,0.73,2.356,6
37,0.722,2.309,10
38,0.721,2.271,7
39,0.71,2.223,1
40,0.703,2.188,15
41,0.708,2.149,0
42,0.706,2.126,0
43,0.708,2.104,13
44,0.706,2.058,0
45,0.706,2.042,1
46,0.702,2.024,2
47,0.713,2.001,5
48,0.695,1.982,4
49,0.694,1.96,7
50,0.694,1.941,6
51,0.696,1.906,7
52,0.696,1.867,7
53,0.695,1.831,1
54,0.692,1.813,1
55,0.693,1.794,2
56,0.692,1.781,12
57,0.689,1.738,2
58,0.687,1.697,8
59,0.676,1.667,2
60,0.673,1.634,2
61,0.677,1.626,0
62,0.673,1.611,2
63,0.669,1.585,4
64,0.668,1.567,2
65,0.668,1.55,6
66,0.675,1.53,2
67,0.673,1.522,5
68,0.668,1.486,4
69,0.667,1.478,2
70,0.662,1.463,3
71,0.648,1.448,7
72,0.65,1.433,1
73,0.649,1.428,4
74,0.65,1.411,1
75,0.65,1.394,13
76,0.644,1.349,2
77,0.643,1.338,9
78,0.638,1.304,3
79,0.636,1.281,9
80,0.635,1.24,2
81,0.637,1.228,6
82,0.633,1.184,4
83,0.629,1.17,10
84,0.621,1.123,4
85,0.614,1.103,2
86,0.611,1.073,4
87,0.603,1.048,9
88,0.599,1,4
89,0.599,0.972,5
90,0.598,0.917,8
91,0.593,0.863,7
92,0.594,0.807,6
93,0.602,0.773,3
94,0.599,0.734,16
95,0.606,0.62,1
96,0.609,0.588,2
97,0.609,0.576,10
98,0.616,0.552,1
99,0.615,0.541,5
100,0.602,0.528,6
101,0.604,0.516,5
102,0.608,0.501,6
103,0.61,0.469,5
104,0.609,0.458,1
105,0.605,0.44,3
106,0.605,0.426,0
107,0.604,0.42,7
108,0.604,0.392,4
109,0.602,0.379,3
110,0.598,0.368,5
111,0.598,0.348,9
112,0.598,0.313,
