 ,X,Y,resin.duct.count
1,0.356,2.977,NA
2,0.373,2.975,NA
3,0.394,2.973,NA
4,0.419,2.949,NA
5,0.436,2.926,6
6,0.455,2.903,7
7,0.477,2.867,8
8,0.503,2.847,13
9,0.537,2.799,16
10,0.573,2.757,18
11,0.597,2.707,17
12,0.602,2.667,19
13,0.618,2.632,20
14,0.628,2.581,24
15,0.64,2.545,18
16,0.649,2.501,11
17,0.66,2.47,12
18,0.667,2.44,9
19,0.671,2.409,3
20,0.673,2.371,15
21,0.682,2.315,13
22,0.686,2.275,14
23,0.696,2.237,5
24,0.692,2.222,10
25,0.693,2.209,1
26,0.692,2.199,4
27,0.691,2.19,5
28,0.695,2.175,7
29,0.694,2.163,13
30,0.705,2.114,12
31,0.71,2.084,12
32,0.715,2.059,12
33,0.715,2.017,15
34,0.716,1.95,13
35,0.721,1.907,9
36,0.718,1.877,3
37,0.72,1.861,12
38,0.722,1.829,4
39,0.725,1.802,11
40,0.731,1.766,9
41,0.734,1.721,1
42,0.733,1.698,3
43,0.734,1.674,6
44,0.733,1.661,1
45,0.733,1.653,7
46,0.733,1.633,6
47,0.733,1.598,7
48,0.732,1.57,21
49,0.725,1.512,5
50,0.729,1.499,9
51,0.742,1.451,11
52,0.744,1.427,3
53,0.749,1.397,11
54,0.75,1.376,5
55,0.745,1.358,5
56,0.744,1.335,4
57,0.743,1.317,2
58,0.742,1.283,10
59,0.735,1.24,16
60,0.734,1.192,2
61,0.731,1.177,1
62,0.728,1.168,1
63,0.73,1.162,4
64,0.724,1.153,18
65,0.732,1.113,17
66,0.722,1.078,9
67,0.709,1.053,7
68,0.713,1.042,7
69,0.712,1.022,1
70,0.712,1.013,9
71,0.71,0.992,3
72,0.706,0.976,6
73,0.702,0.967,6
74,0.704,0.953,15
75,0.695,0.917,7
76,0.694,0.903,6
77,0.692,0.891,10
78,0.69,0.867,3
79,0.686,0.861,5
80,0.687,0.841,8
81,0.691,0.821,8
82,0.688,0.807,4
83,0.688,0.784,7
84,0.686,0.762,1
85,0.686,0.755,3
86,0.686,0.745,9
87,0.684,0.726,0
88,0.68,0.719,7
89,0.683,0.705,10
90,0.689,0.678,1
91,0.688,0.66,3
92,0.687,0.64,5
93,0.691,0.626,7
94,0.689,0.607,2
95,0.688,0.59,12
96,0.686,0.568,4
97,0.687,0.551,0
98,0.687,0.543,15
99,0.688,0.513,4
100,0.687,0.491,10
101,0.693,0.471,2
102,0.693,0.46,11
103,0.692,0.425,1
104,0.693,0.418,16
105,0.695,0.384,5
106,0.692,0.362,6
107,0.696,0.343,
