 ,X,Y,resin.duct.count
1,0.782,3.667,0
2,0.784,3.657,3
3,0.785,3.647,6
4,0.779,3.636,5
5,0.787,3.621,7
6,0.789,3.605,5
7,0.795,3.587,5
8,0.796,3.571,5
9,0.798,3.556,12
10,0.796,3.535,8
11,0.791,3.519,10
12,0.79,3.491,15
13,0.792,3.459,9
14,0.792,3.436,11
15,0.8,3.416,12
16,0.797,3.392,3
17,0.795,3.376,11
18,0.791,3.351,8
19,0.791,3.327,10
20,0.782,3.295,7
21,0.779,3.274,9
22,0.784,3.239,11
23,0.782,3.213,6
24,0.781,3.193,11
25,0.783,3.15,10
26,0.782,3.122,6
27,0.779,3.095,11
28,0.776,3.062,14
29,0.776,3.031,6
30,0.775,2.995,5
31,0.771,2.964,11
32,0.78,2.933,9
33,0.784,2.894,6
34,0.786,2.869,4
35,0.787,2.847,10
36,0.786,2.808,6
37,0.779,2.788,8
38,0.789,2.751,8
39,0.789,2.704,4
40,0.78,2.684,8
41,0.79,2.656,8
42,0.789,2.624,8
43,0.791,2.584,5
44,0.791,2.544,10
45,0.797,2.512,7
46,0.795,2.487,5
47,0.795,2.469,3
48,0.789,2.453,4
49,0.799,2.428,12
50,0.797,2.397,8
51,0.796,2.371,4
52,0.796,2.352,6
53,0.797,2.327,8
54,0.785,2.304,10
55,0.799,2.286,5
56,0.799,2.266,3
57,0.799,2.252,8
58,0.798,2.238,2
59,0.798,2.231,2
60,0.795,2.216,9
61,0.798,2.201,6
62,0.799,2.186,5
63,0.799,2.158,6
64,0.799,2.143,9
65,0.8,2.118,12
66,0.799,2.084,4
67,0.801,2.062,7
68,0.8,2.029,7
69,0.799,2.002,10
70,0.801,1.978,6
71,0.801,1.963,5
72,0.801,1.949,4
73,0.799,1.931,5
74,0.801,1.917,4
75,0.803,1.897,6
76,0.803,1.89,7
77,0.8,1.869,2
78,0.797,1.864,1
79,0.797,1.857,22
80,0.793,1.832,11
81,0.792,1.788,6
82,0.792,1.765,16
83,0.78,1.696,14
84,0.775,1.636,8
85,0.782,1.583,11
86,0.782,1.538,8
87,0.786,1.49,14
88,0.793,1.442,10
89,0.784,1.394,10
90,0.781,1.36,10
91,0.774,1.327,11
92,0.78,1.289,12
93,0.778,1.244,5
94,0.778,1.214,12
95,0.78,1.166,4
96,0.783,1.149,7
97,0.783,1.117,9
98,0.78,1.092,3
99,0.779,1.077,11
100,0.771,1.039,8
101,0.776,1.009,9
102,0.789,0.978,10
103,0.787,0.951,7
104,0.786,0.922,8
105,0.786,0.907,12
106,0.786,0.879,5
107,0.782,0.861,9
108,0.781,0.845,8
109,0.773,0.825,5
110,0.773,0.809,3
111,0.774,0.79,12
112,0.774,0.761,3
113,0.774,0.735,7
114,0.771,0.72,5
115,0.77,0.707,5
116,0.774,0.688,9
117,0.776,0.661,5
118,0.779,0.633,8
119,0.779,0.619,9
120,0.778,0.593,1
121,0.775,0.573,15
122,0.775,0.539,9
123,0.785,0.52,7
124,0.778,0.487,6
125,0.778,0.466,11
126,0.783,0.44,3
127,0.788,0.415,14
128,0.784,0.393,8
129,0.784,0.37,9
130,0.775,0.344,6
131,0.781,0.325,14
132,0.782,0.267,6
133,0.768,0.231,6
134,0.775,0.203,7
135,0.78,0.173,3
136,0.773,0.151,2
137,0.772,0.12,
