 ,X,Y,resin.duct.count
1,0.676,6.053,NA
2,0.676,6.04,16
3,0.67,5.973,32
4,0.67,5.893,21
5,0.666,5.857,17
6,0.651,5.816,11
7,0.644,5.777,10
8,0.643,5.759,16
9,0.633,5.717,24
10,0.637,5.672,13
11,0.637,5.638,9
12,0.64,5.61,7
13,0.618,5.594,16
14,0.62,5.573,4
15,0.62,5.554,13
16,0.624,5.522,19
17,0.616,5.481,8
18,0.62,5.438,8
19,0.617,5.416,15
20,0.62,5.367,16
21,0.615,5.312,19
22,0.611,5.258,9
23,0.61,5.231,15
24,0.609,5.178,8
25,0.611,5.157,0
26,0.613,5.137,14
27,0.601,5.088,25
28,0.613,5.028,8
29,0.622,4.984,9
30,0.626,4.963,6
31,0.619,4.944,0
32,0.62,4.935,8
33,0.624,4.902,13
34,0.592,4.875,10
35,0.596,4.854,5
36,0.598,4.835,15
37,0.604,4.793,16
38,0.598,4.739,11
39,0.608,4.711,12
40,0.609,4.671,16
41,0.609,4.629,5
42,0.613,4.599,17
43,0.615,4.558,9
44,0.613,4.531,10
45,0.614,4.503,16
46,0.608,4.461,6
47,0.61,4.426,15
48,0.61,4.386,10
49,0.606,4.365,6
50,0.611,4.336,11
51,0.609,4.298,5
52,0.611,4.278,3
53,0.607,4.255,14
54,0.616,4.218,2
55,0.614,4.186,11
56,0.612,4.154,10
57,0.61,4.127,9
58,0.608,4.104,9
59,0.608,4.083,3
60,0.608,4.055,9
61,0.603,4,11
62,0.604,3.959,15
63,0.6,3.904,4
64,0.595,3.874,11
65,0.59,3.836,10
66,0.596,3.799,10
67,0.585,3.753,13
68,0.579,3.706,13
69,0.597,3.41,12
70,0.594,3.654,3
71,0.601,3.625,10
72,0.601,3.581,13
73,0.598,3.528,7
74,0.599,3.498,6
75,0.599,3.464,7
76,0.606,3.368,9
77,0.601,3.342,2
78,0.581,3.286,18
79,0.575,3.25,7
80,0.571,3.181,16
81,0.578,3.135,7
82,0.578,3.095,9
83,0.578,3.065,9
84,0.589,3.028,9
85,0.578,2.996,8
86,0.583,2.951,4
87,0.59,2.936,11
88,0.588,2.904,3
89,0.577,2.882,6
90,0.58,2.86,8
91,0.578,2.834,5
92,0.581,2.813,6
93,0.604,2.797,3
94,0.593,2.78,7
95,0.606,2.754,11
96,0.584,2.706,8
97,0.584,2.668,6
98,0.582,2.649,9
99,0.583,2.62,10
100,0.59,2.588,8
101,0.587,2.534,11
102,0.592,2.487,10
103,0.584,2.434,10
104,0.578,2.387,7
105,0.579,2.357,5
106,0.576,2.332,12
107,0.578,2.292,0
108,0.576,2.274,6
109,0.577,2.253,9
110,0.577,2.225,10
111,0.574,2.182,8
112,0.574,2.159,4
113,0.57,2.133,4
114,0.568,2.111,2
115,0.571,2.094,4
116,0.571,2.084,3
117,0.571,2.061,11
118,0.568,2.044,8
119,0.563,2.017,9
120,0.558,1.976,8
121,0.556,1.953,4
122,0.557,1.927,5
123,0.559,1.896,11
124,0.556,1.863,6
125,0.549,1.83,12
126,0.554,1.801,4
127,0.517,1.778,9
128,0.542,1.748,12
129,0.542,1.704,3
130,0.535,1.688,9
131,0.541,1.663,13
132,0.544,1.635,6
133,0.548,1.606,6
134,0.517,1.567,8
135,0.519,1.539,6
136,0.521,1.506,7
137,0.521,1.475,16
138,0.524,1.423,11
139,0.524,1.384,16
140,0.531,1.311,13
141,0.537,1.275,12
142,0.539,1.237,6
143,0.541,1.196,12
144,0.539,1.163,14
145,0.541,1.093,12
146,0.538,1.038,14
147,0.56,0.958,13
148,0.547,0.898,8
149,0.552,0.857,13
150,0.562,0.825,11
151,0.563,0.785,4
152,0.563,0.763,5
153,0.568,0.742,7
154,0.563,0.708,6
155,0.578,0.675,9
156,0.576,0.629,13
157,0.576,0.575,2
158,0.574,0.538,11
159,0.583,0.513,7
160,0.585,0.481,5
161,0.587,0.463,4
162,0.578,0.438,2
163,0.573,0.425,2
164,0.575,0.399,11
165,0.575,0.383,2
166,0.573,0.371,7
167,0.561,0.348,4
168,0.563,0.335,
