 ,X,Y,resin.duct.count
1,0.357,2.538,0
2,0.367,2.521,7
3,0.38,2.491,12
4,0.397,2.447,11
5,0.407,2.414,19
6,0.425,2.344,33
7,0.466,2.235,23
8,0.478,2.143,17
9,0.505,2.011,13
10,0.522,1.927,12
11,0.531,1.873,4
12,0.536,1.797,16
13,0.546,1.711,20
14,0.538,1.577,18
15,0.541,1.473,14
16,0.538,1.42,16
17,0.537,1.345,9
18,0.528,1.291,16
19,0.532,1.204,1
20,0.533,1.178,18
21,0.526,1.102,11
22,0.524,1.054,11
23,0.524,0.999,12
24,0.522,0.945,3
25,0.527,0.913,18
26,0.532,0.816,12
27,0.531,0.737,8
28,0.53,0.697,20
29,0.537,0.598,23
30,0.533,0.513,15
31,0.535,0.429,3
32,0.527,0.422,11
33,0.512,0.376,10
34,0.509,0.337,1
35,0.505,0.322,14
36,0.489,0.26,
