 ,X,Y,resin.duct.count
1,0.815,2.931,0
2,0.815,2.901,25
3,0.817,2.85,19
4,0.818,2.816,10
5,0.82,2.775,20
6,0.807,2.702,21
7,0.809,2.606,24
8,0.817,2.527,23
9,0.817,2.477,18
10,0.807,2.421,15
11,0.805,2.363,11
12,0.805,2.312,12
13,0.787,2.259,14
14,0.781,2.202,16
15,0.778,2.147,12
16,0.785,2.079,13
17,0.786,2.029,16
18,0.773,1.959,12
19,0.787,1.905,14
20,0.79,1.836,12
21,0.79,1.825,13
22,0.788,1.771,11
23,0.787,1.716,14
24,0.778,1.639,4
25,0.782,1.616,13
26,0.791,1.525,10
27,0.781,1.51,12
28,0.783,1.43,3
29,0.791,1.404,8
30,0.788,1.377,5
31,0.792,1.341,14
32,0.793,1.304,12
33,0.778,1.204,14
34,0.776,1.119,15
35,0.767,1.007,11
36,0.766,0.954,5
37,0.765,0.924,8
38,0.787,0.867,18
39,0.768,0.793,18
40,0.763,0.633,13
41,0.758,0.571,9
42,0.761,0.519,5
43,0.762,0.503,6
44,0.758,0.478,6
45,0.766,0.46,9
46,0.762,0.438,6
47,0.755,0.412,6
48,0.758,0.401,7
49,0.755,0.367,11
50,0.748,0.309,6
51,0.749,0.283,9
52,0.747,0.23,7
53,0.735,0.208,4
54,0.732,0.169,3
55,0.732,0.159,
