 ,X,Y
1,0.524,4.588
2,0.527,4.560
3,0.534,4.541
4,0.538,4.501
5,0.548,4.475
6,0.559,4.425
7,0.558,4.386
8,0.572,4.341
9,0.578,4.284
10,0.585,4.258
11,0.603,4.221
12,0.608,4.206
13,0.603,4.176
14,0.621,4.093
15,0.640,4.013
16,0.656,3.937
17,0.661,3.850
18,0.662,3.742
19,0.668,3.687
20,0.670,3.607
21,0.673,3.573
22,0.678,3.495
23,0.676,3.408
24,0.675,3.251
25,0.666,3.151
26,0.653,2.979
27,0.668,2.922
28,0.662,2.853
29,0.677,2.698
30,0.677,2.669
31,0.672,2.592
32,0.680,2.532
33,0.681,2.465
34,0.681,2.417
35,0.677,2.312
36,0.678,2.265
37,0.682,2.128
38,0.686,2.032
39,0.687,1.982
40,0.688,1.914
41,0.688,1.835
42,0.707,1.734
43,0.677,1.556
44,0.675,1.464
45,0.683,1.408
46,0.668,1.277
47,0.673,1.219
48,0.676,1.150
49,0.684,1.046
50,0.679,0.942
51,0.672,0.847
52,0.674,0.793
53,0.692,0.701
54,0.685,0.658
55,0.685,0.630
56,0.705,0.615
57,0.703,0.598
58,0.698,0.558
59,0.701,0.496
60,0.697,0.470
61,0.695,0.376
62,0.685,0.316
63,0.682,0.274
64,0.672,0.195
65,0.653,0.154
66,0.663,0.122
67,0.683,0.107
68,0.681,0.081
69,0.685,0.069
