 ,X,Y,resin.duct.count
1,0.711,3.786,0
2,0.707,3.739,27
3,0.698,3.672,12
4,0.685,3.599,17
5,0.683,3.514,3
6,0.678,3.506,0
7,0.684,3.484,3
8,0.687,3.466,6
9,0.689,3.444,7
10,0.671,3.422,1
11,0.669,3.414,2
12,0.668,3.407,14
13,0.67,3.373,3
14,0.673,3.341,8
15,0.673,3.31,10
16,0.677,3.261,5
17,0.679,3.236,5
18,0.676,3.22,7
19,0.671,3.183,12
20,0.666,3.131,8
21,0.671,3.107,11
22,0.688,3.068,3
23,0.687,3.06,1
24,0.688,3.05,1
25,0.691,3.027,10
26,0.687,2.978,1
27,0.685,2.957,4
28,0.686,2.933,9
29,0.687,2.927,3
30,0.686,2.881,0
31,0.69,2.862,6
32,0.692,2.849,0
33,0.692,2.84,2
34,0.695,2.833,1
35,0.695,2.821,1
36,0.696,2.798,6
37,0.697,2.768,7
38,0.703,2.739,2
39,0.707,2.713,14
40,0.707,2.666,4
41,0.712,2.65,3
42,0.717,2.636,5
43,0.722,2.592,4
44,0.72,2.571,6
45,0.721,2.542,6
46,0.723,2.526,13
47,0.722,2.49,2
48,0.724,2.457,6
49,0.723,2.42,3
50,0.722,2.401,3
51,0.719,2.378,2
52,0.72,2.368,2
53,0.722,2.353,4
54,0.718,2.326,6
55,0.711,2.296,2
56,0.711,2.287,8
57,0.713,2.263,2
58,0.713,2.251,5
59,0.706,2.234,2
60,0.706,2.224,7
61,0.706,2.199,1
62,0.711,2.185,5
63,0.711,2.173,5
64,0.711,2.162,4
65,0.716,2.15,9
66,0.722,2.084,10
67,0.725,2.023,2
68,0.712,1.981,1
69,0.711,1.972,1
70,0.71,1.949,7
71,0.705,1.903,11
72,0.704,1.888,4
73,0.703,1.863,0
74,0.703,1.846,0
75,0.701,1.834,6
76,0.695,1.789,3
77,0.687,1.756,3
78,0.683,1.736,5
79,0.687,1.724,4
80,0.689,1.707,4
81,0.688,1.691,6
82,0.685,1.658,4
83,0.694,1.63,5
84,0.691,1.601,4
85,0.693,1.586,8
86,0.691,1.529,0
87,0.694,1.514,8
88,0.701,1.448,0
89,0.701,1.411,9
90,0.694,1.364,1
91,0.693,1.314,11
92,0.697,1.262,6
93,0.718,1.17,11
94,0.703,1.079,10
95,0.692,1.024,4
96,0.71,0.983,10
97,0.731,0.92,2
98,0.731,0.869,3
99,0.729,0.86,6
100,0.731,0.833,2
101,0.731,0.825,7
102,0.732,0.779,0
103,0.734,0.77,1
104,0.725,0.75,3
105,0.725,0.742,3
106,0.725,0.722,5
107,0.723,0.699,8
108,0.715,0.656,0
109,0.714,0.638,4
110,0.707,0.56,0
111,0.707,0.545,14
112,0.713,0.454,4
113,0.724,0.429,1
114,0.713,0.4,9
115,0.719,0.31,13
116,0.721,0.284,
