 ,X,Y,resin.duct.count
1,0.471,4.42,0
2,0.468,4.389,24
3,0.475,4.342,9
4,0.476,4.328,12
5,0.484,4.314,10
6,0.474,4.291,20
7,0.469,4.258,3
8,0.472,4.244,16
9,0.478,4.216,2
10,0.481,4.197,23
11,0.488,4.162,17
12,0.497,4.115,28
13,0.502,4.053,23
14,0.499,3.94,0
15,0.501,3.925,5
16,0.506,3.896,6
17,0.512,3.856,16
18,0.515,3.775,0
19,0.515,3.767,1
20,0.512,3.726,13
21,0.515,3.7,9
22,0.524,3.64,2
23,0.522,3.6,7
24,0.532,3.546,10
25,0.526,3.489,1
26,0.525,3.471,16
27,0.541,3.399,1
28,0.54,3.382,2
29,0.535,3.344,11
30,0.533,3.311,9
31,0.529,3.255,5
32,0.53,3.233,13
33,0.534,3.1,7
34,0.549,3.027,1
35,0.551,2.989,5
36,0.541,2.958,4
37,0.55,2.911,1
38,0.551,2.9,3
39,0.548,2.874,20
40,0.528,2.77,12
41,0.54,2.646,23
42,0.533,2.505,0
43,0.535,2.491,0
44,0.536,2.478,7
45,0.552,2.395,36
46,0.599,2.166,23
47,0.586,1.883,18
48,0.563,1.759,5
49,0.577,1.704,1
50,0.57,1.655,1
51,0.569,1.647,7
52,0.573,1.627,10
53,0.57,1.612,5
54,0.571,1.587,12
55,0.561,1.543,0
56,0.563,1.505,13
57,0.566,1.432,0
58,0.569,1.405,1
59,0.572,1.389,6
60,0.554,1.326,1
61,0.556,1.319,8
62,0.558,1.282,4
63,0.559,1.186,7
64,0.558,1.153,11
65,0.544,1.04,3
66,0.551,0.993,1
67,0.551,0.975,9
68,0.553,0.933,3
69,0.556,0.838,8
70,0.561,0.797,0
71,0.561,0.779,0
72,0.564,0.736,8
73,0.566,0.616,9
74,0.581,0.514,4
75,0.576,0.485,0
76,0.576,0.478,7
77,0.571,0.448,3
78,0.567,0.399,6
79,0.575,0.339,
