 ,X,Y,resin.duct.count
1,0.257,4.607,0
2,0.264,4.589,5
3,0.273,4.568,11
4,0.286,4.525,27
5,0.296,4.477,16
6,0.309,4.452,13
7,0.321,4.418,23
8,0.328,4.388,16
9,0.334,4.35,18
10,0.344,4.316,23
11,0.342,4.277,30
12,0.364,4.213,26
13,0.374,4.16,22
14,0.382,4.084,26
15,0.381,4.047,8
16,0.382,4.003,10
17,0.385,3.961,17
18,0.384,3.927,10
19,0.384,3.887,23
20,0.391,3.831,26
21,0.396,3.763,22
22,0.399,3.688,22
23,0.395,3.633,20
24,0.4,3.569,14
25,0.412,3.518,23
26,0.414,3.472,22
27,0.408,3.418,7
28,0.407,3.389,18
29,0.408,3.333,27
30,0.407,3.258,29
31,0.398,3.176,25
32,0.402,3.081,18
33,0.403,3.017,10
34,0.404,2.992,17
35,0.4,2.94,13
36,0.399,2.898,10
37,0.385,2.863,10
38,0.387,2.841,10
39,0.403,2.81,25
40,0.397,2.762,1
41,0.402,2.737,20
42,0.411,2.705,23
43,0.408,2.652,9
44,0.406,2.622,36
45,0.396,2.538,2
46,0.4,2.517,8
47,0.401,2.497,4
48,0.391,2.484,10
49,0.38,2.462,1
50,0.386,2.452,17
51,0.394,2.429,14
52,0.393,2.388,16
53,0.401,2.341,7
54,0.402,2.322,17
55,0.389,2.28,31
56,0.393,2.205,33
57,0.383,2.098,11
58,0.386,2.06,7
59,0.397,2.029,23
60,0.398,1.97,11
61,0.383,1.931,14
62,0.384,1.88,14
63,0.381,1.833,17
64,0.389,1.783,24
65,0.389,1.707,5
66,0.397,1.677,9
67,0.392,1.647,11
68,0.391,1.624,15
69,0.39,1.587,13
70,0.395,1.55,7
71,0.395,1.533,16
72,0.397,1.495,7
73,0.396,1.476,11
74,0.391,1.456,3
75,0.395,1.44,3
76,0.393,1.431,7
77,0.395,1.416,13
78,0.396,1.397,15
79,0.403,1.378,6
80,0.403,1.361,15
81,0.403,1.333,13
82,0.411,1.318,11
83,0.406,1.301,16
84,0.406,1.272,14
85,0.404,1.247,20
86,0.388,1.215,11
87,0.381,1.203,8
88,0.382,1.185,14
89,0.38,1.165,13
90,0.379,1.15,12
91,0.383,1.13,5
92,0.372,1.105,7
93,0.373,1.099,8
94,0.37,1.076,6
95,0.369,1.067,11
96,0.362,1.046,0
97,0.361,1.031,9
98,0.362,1.013,5
99,0.366,1.002,12
100,0.362,0.975,6
101,0.36,0.951,14
102,0.353,0.929,2
103,0.352,0.922,7
104,0.348,0.913,5
105,0.352,0.904,13
106,0.354,0.883,6
107,0.355,0.873,18
108,0.352,0.846,15
109,0.357,0.834,18
110,0.358,0.81,18
111,0.354,0.773,6
112,0.354,0.765,5
113,0.358,0.751,8
114,0.358,0.732,12
115,0.36,0.711,5
116,0.366,0.694,11
117,0.375,0.674,11
118,0.373,0.653,7
119,0.366,0.626,10
120,0.359,0.601,8
121,0.359,0.578,15
122,0.353,0.542,9
123,0.349,0.521,12
124,0.341,0.494,23
125,0.332,0.424,11
126,0.332,0.411,14
127,0.335,0.374,15
128,0.331,0.341,1
129,0.335,0.328,8
130,0.335,0.309,7
131,0.325,0.293,6
132,0.333,0.273,
