 ,X,Y,resin.duct.count
1,0.846,2.678,0
2,0.807,2.64,3
3,0.79,2.603,12
4,0.748,2.498,16
5,0.693,2.421,15
6,0.657,2.32,10
7,0.639,2.193,14
8,0.636,2.087,1
9,0.633,2.061,11
10,0.617,1.988,1
11,0.617,1.972,7
12,0.607,1.91,12
13,0.612,1.846,5
14,0.616,1.772,7
15,0.618,1.703,9
16,0.624,1.67,4
17,0.647,1.595,2
18,0.649,1.565,17
19,0.644,1.466,3
20,0.657,1.402,10
21,0.654,1.352,2
22,0.647,1.312,10
23,0.637,1.25,6
24,0.632,1.17,10
25,0.662,1.098,0
26,0.66,1.079,3
27,0.658,1.049,1
28,0.655,1.036,1
29,0.653,1.022,2
30,0.653,0.995,10
31,0.653,0.945,5
32,0.653,0.926,1
33,0.654,0.9,3
34,0.651,0.884,7
35,0.65,0.866,0
36,0.652,0.842,3
37,0.652,0.82,5
38,0.655,0.777,7
39,0.655,0.762,1
40,0.655,0.727,5
41,0.655,0.715,3
42,0.657,0.678,5
43,0.66,0.623,2
44,0.66,0.602,4
45,0.663,0.547,6
46,0.661,0.521,6
47,0.658,0.478,2
48,0.655,0.461,9
49,0.656,0.432,0
50,0.653,0.395,11
51,0.652,0.326,8
52,0.636,0.251,
