 ,X,Y,resin.duct.count
1,0.703,1.994,0
2,0.702,1.988,28
3,0.698,1.936,12
4,0.695,1.913,11
5,0.691,1.885,4
6,0.684,1.872,2
7,0.685,1.865,3
8,0.688,1.849,8
9,0.687,1.834,17
10,0.688,1.814,9
11,0.688,1.796,17
12,0.685,1.761,13
13,0.688,1.739,15
14,0.676,1.712,18
15,0.671,1.695,6
16,0.677,1.683,1
17,0.679,1.667,5
18,0.654,1.626,20
19,0.661,1.574,8
20,0.66,1.541,12
21,0.665,1.507,6
22,0.665,1.489,4
23,0.661,1.476,11
24,0.658,1.441,12
25,0.661,1.407,2
26,0.663,1.39,1
27,0.662,1.377,8
28,0.666,1.351,14
29,0.67,1.317,20
30,0.667,1.258,1
31,0.664,1.248,1
32,0.664,1.24,9
33,0.663,1.203,14
34,0.66,1.165,3
35,0.656,1.142,6
36,0.654,1.121,2
37,0.647,1.096,1
38,0.648,1.082,5
39,0.644,1.058,12
40,0.642,1.032,4
41,0.641,1.02,8
42,0.647,0.997,7
43,0.647,0.978,14
44,0.645,0.938,7
45,0.647,0.896,7
46,0.651,0.862,3
47,0.654,0.836,11
48,0.653,0.797,1
49,0.651,0.779,2
50,0.651,0.766,4
51,0.651,0.747,7
52,0.648,0.72,9
53,0.64,0.69,3
54,0.648,0.65,2
55,0.649,0.644,2
56,0.647,0.618,3
57,0.644,0.611,8
58,0.643,0.584,15
59,0.64,0.526,2
60,0.63,0.489,1
61,0.632,0.471,12
62,0.632,0.429,2
63,0.631,0.413,8
64,0.622,0.376,13
65,0.627,0.318,1
66,0.628,0.293,1
67,0.627,0.281,
