 ,X,Y,resin.duct.count
1,0.456,2.671,0
2,0.458,2.655,12
3,0.463,2.611,17
4,0.47,2.567,18
5,0.484,2.524,21
6,0.505,2.484,20
7,0.498,2.433,14
8,0.509,2.389,10
9,0.511,2.348,13
10,0.519,2.307,10
11,0.521,2.261,8
12,0.53,2.218,6
13,0.538,2.173,11
14,0.537,2.134,5
15,0.539,2.099,12
16,0.546,2.043,9
17,0.552,1.995,15
18,0.562,1.938,12
19,0.566,1.893,5
20,0.568,1.867,9
21,0.572,1.813,9
22,0.575,1.77,8
23,0.585,1.72,9
24,0.589,1.671,7
25,0.589,1.613,12
26,0.6,1.578,6
27,0.6,1.543,13
28,0.609,1.49,13
29,0.614,1.442,18
30,0.621,1.4,0
31,0.624,1.364,3
32,0.624,1.301,15
33,0.628,1.252,13
34,0.623,1.187,11
35,0.637,1.134,8
36,0.637,1.068,12
37,0.639,1.028,17
38,0.642,0.966,5
39,0.643,0.906,14
40,0.639,0.859,11
41,0.644,0.775,13
42,0.643,0.704,12
43,0.654,0.639,21
44,0.658,0.532,10
45,0.663,0.476,9
46,0.661,0.434,11
47,0.667,0.37,4
48,0.669,0.357,13
49,0.674,0.33,5
50,0.679,0.296,8
51,0.674,0.256,10
52,0.678,0.198,
