 ,X,Y,resin.duct.count
1,0.377,2.601,0
2,0.378,2.589,8
3,0.375,2.566,23
4,0.374,2.53,24
5,0.374,2.506,25
6,0.379,2.485,40
7,0.387,2.442,31
8,0.386,2.402,36
9,0.38,2.37,28
10,0.375,2.333,1
11,0.379,2.317,17
12,0.384,2.295,20
13,0.386,2.258,40
14,0.386,2.184,24
15,0.383,2.129,16
16,0.386,2.104,19
17,0.387,2.072,28
18,0.39,2.041,25
19,0.385,1.977,21
20,0.388,1.934,29
21,0.389,1.881,20
22,0.4,1.843,21
23,0.4,1.81,23
24,0.402,1.76,20
25,0.402,1.734,22
26,0.396,1.703,14
27,0.393,1.674,9
28,0.389,1.652,17
29,0.401,1.624,24
30,0.405,1.599,14
31,0.407,1.592,11
32,0.403,1.576,12
33,0.403,1.564,24
34,0.405,1.509,17
35,0.408,1.444,23
36,0.417,1.39,21
37,0.417,1.326,22
38,0.422,1.258,21
39,0.425,1.218,19
40,0.417,1.147,21
41,0.42,1.092,23
42,0.42,1.037,25
43,0.411,0.978,17
44,0.41,0.937,17
45,0.413,0.894,11
46,0.411,0.868,15
47,0.411,0.839,12
48,0.411,0.824,17
49,0.41,0.787,17
50,0.409,0.752,5
51,0.424,0.732,16
52,0.423,0.709,10
53,0.427,0.693,19
54,0.426,0.666,11
55,0.429,0.651,19
56,0.43,0.609,6
57,0.418,0.584,17
58,0.422,0.563,5
59,0.434,0.539,14
60,0.429,0.505,14
61,0.434,0.474,14
62,0.434,0.448,13
63,0.443,0.429,20
64,0.44,0.397,18
65,0.436,0.357,5
66,0.425,0.34,3
67,0.418,0.328,13
68,0.42,0.313,1
69,0.427,0.305,24
70,0.433,0.263,18
71,0.438,0.229,14
72,0.436,0.196,43
73,0.443,0.16,
