 ,X,Y
1,0.359,2.773
2,0.367,2.759
3,0.375,2.748
4,0.386,2.709
5,0.391,2.683
6,0.398,2.640
7,0.405,2.583
8,0.410,2.548
9,0.429,2.502
10,0.439,2.427
11,0.453,2.354
12,0.477,2.270
13,0.489,2.193
14,0.505,2.132
15,0.510,2.056
16,0.526,1.997
17,0.536,1.932
18,0.533,1.874
19,0.538,1.824
20,0.538,1.764
21,0.536,1.718
22,0.539,1.667
23,0.541,1.637
24,0.546,1.578
25,0.551,1.525
26,0.553,1.490
27,0.558,1.438
28,0.554,1.398
29,0.551,1.337
30,0.555,1.313
31,0.561,1.270
32,0.564,1.257
33,0.559,1.230
34,0.563,1.209
35,0.565,1.190
36,0.571,1.175
37,0.568,1.146
38,0.565,1.106
39,0.564,1.075
40,0.565,1.060
41,0.571,1.052
42,0.574,1.041
43,0.571,1.017
44,0.569,0.982
45,0.571,0.970
46,0.572,0.955
47,0.572,0.929
48,0.577,0.866
49,0.578,0.847
50,0.584,0.824
51,0.583,0.793
52,0.585,0.768
53,0.578,0.735
54,0.582,0.688
55,0.584,0.640
56,0.583,0.622
57,0.583,0.570
58,0.583,0.550
59,0.581,0.534
60,0.584,0.472
61,0.585,0.460
62,0.588,0.446
63,0.591,0.414
64,0.588,0.355
65,0.588,0.308
