 ,X,Y,resin.duct.count
1,0.309,2.724,0
2,0.309,2.71,13
3,0.311,2.68,15
4,0.31,2.652,17
5,0.319,2.621,21
6,0.32,2.589,20
7,0.319,2.534,29
8,0.326,2.478,28
9,0.324,2.388,22
10,0.328,2.322,27
11,0.331,2.254,23
12,0.343,2.176,16
13,0.349,2.112,21
14,0.351,2.031,23
15,0.356,1.957,22
16,0.359,1.88,24
17,0.358,1.802,19
18,0.353,1.719,17
19,0.355,1.666,20
20,0.359,1.564,15
21,0.356,1.512,16
22,0.357,1.467,22
23,0.36,1.385,22
24,0.361,1.312,22
25,0.36,1.232,21
26,0.364,1.157,18
27,0.352,1.089,15
28,0.352,1.059,9
29,0.361,1.038,11
30,0.362,1.004,15
31,0.361,0.967,12
32,0.36,0.941,14
33,0.362,0.889,13
34,0.369,0.842,18
35,0.372,0.777,12
36,0.37,0.74,17
37,0.369,0.685,16
38,0.376,0.634,15
39,0.38,0.533,14
40,0.379,0.495,16
41,0.383,0.468,15
42,0.376,0.407,13
43,0.376,0.375,4
44,0.378,0.348,10
45,0.381,0.312,3
46,0.374,0.295,5
47,0.374,0.269,7
48,0.376,0.257,1
49,0.375,0.25,15
50,0.367,0.222,12
51,0.367,0.202,3
52,0.362,0.185,
