 ,X,Y,resin.duct.count
1,0.073,5.364,NA
2,0.09,5.341,NA
3,0.12,5.294,NA
4,0.14,5.261,NA
5,0.156,5.17,6
6,0.191,5.154,3
7,0.2,5.141,10
8,0.208,5.109,6
9,0.224,5.084,2
10,0.231,5.071,8
11,0.245,5.054,22
12,0.288,5.007,31
13,0.295,4.94,3
14,0.298,4.935,10
15,0.304,4.921,16
16,0.312,4.908,33
17,0.327,4.868,6
18,0.332,4.855,17
19,0.34,4.826,19
20,0.349,4.763,7
21,0.354,4.72,16
22,0.373,4.687,7
23,0.376,4.668,25
24,0.382,4.624,1
25,0.392,4.61,2
26,0.394,4.598,9
27,0.4,4.585,8
28,0.403,4.577,8
29,0.409,4.562,12
30,0.411,4.523,0
31,0.413,4.517,7
32,0.425,4.498,7
33,0.426,4.483,17
34,0.44,4.446,20
35,0.449,4.407,1
36,0.427,4.36,2
37,0.428,4.346,17
38,0.414,4.278,5
39,0.417,4.228,8
40,0.422,4.195,5
41,0.419,4.18,2
42,0.416,4.157,10
43,0.414,4.109,5
44,0.415,4.094,8
45,0.406,4.033,8
46,0.409,3.999,4
47,0.415,3.973,3
48,0.414,3.95,8
49,0.416,3.909,6
50,0.414,3.895,4
51,0.418,3.882,8
52,0.414,3.855,2
53,0.413,3.842,11
54,0.413,3.816,6
55,0.426,3.794,2
56,0.433,3.769,1
57,0.434,3.747,3
58,0.434,3.736,4
59,0.442,3.697,4
60,0.427,3.662,4
61,0.428,3.636,5
62,0.428,3.618,0
63,0.428,3.602,6
64,0.43,3.586,5
65,0.433,3.568,4
66,0.429,3.541,14
67,0.428,3.485,14
68,0.423,3.424,1
69,0.426,3.387,7
70,0.423,3.358,2
71,0.428,3.328,11
72,0.424,3.288,11
73,0.425,3.243,3
74,0.415,3.214,4
75,0.417,3.203,4
76,0.42,3.181,2
77,0.418,3.161,3
78,0.416,3.132,4
79,0.411,3.103,8
80,0.406,3.023,5
81,0.416,2.979,5
82,0.427,2.915,7
83,0.408,2.839,7
84,0.406,2.759,6
85,0.391,2.703,4
86,0.398,2.65,2
87,0.399,2.61,13
88,0.398,2.532,2
89,0.394,2.494,6
90,0.393,2.463,5
91,0.39,2.399,9
92,0.398,2.355,6
93,0.385,2.28,8
94,0.364,2.233,2
95,0.375,2.145,1
96,0.38,2.123,6
97,0.381,2.043,6
98,0.38,2,4
99,0.378,1.947,5
100,0.385,1.899,2
101,0.385,1.843,7
102,0.38,1.788,3
103,0.381,1.771,13
104,0.395,1.673,0
105,0.391,1.648,9
106,0.394,1.57,10
107,0.389,1.488,1
108,0.402,1.407,12
109,0.403,1.325,6
110,0.414,1.263,4
111,0.418,1.231,11
112,0.407,1.19,1
113,0.41,1.149,2
114,0.413,1.107,8
115,0.409,1.045,2
116,0.413,1.027,7
117,0.417,0.98,6
118,0.393,0.943,8
119,0.4,0.877,4
120,0.407,0.801,6
121,0.409,0.769,14
122,0.416,0.669,8
123,0.41,0.602,15
124,0.414,0.477,6
125,0.417,0.426,9
126,0.405,0.313,14
127,0.43,0.203,12
128,0.439,0.161,2
129,0.441,0.149,2
130,0.444,0.123,6
131,0.445,0.091,1
132,0.444,0.074,
