 ,X,Y,resin.duct.count
1,0.42,3.781,0
2,0.419,3.761,9
3,0.425,3.73,10
4,0.431,3.695,16
5,0.438,3.661,15
6,0.44,3.619,18
7,0.45,3.577,19
8,0.47,3.493,18
9,0.471,3.448,32
10,0.474,3.263,21
11,0.476,3.176,1
12,0.477,3.151,8
13,0.485,3.129,9
14,0.481,3.1,2
15,0.482,3.086,16
16,0.477,3.043,20
17,0.47,2.964,13
18,0.456,2.878,12
19,0.458,2.791,4
20,0.443,2.746,15
21,0.443,2.696,5
22,0.441,2.652,10
23,0.446,2.62,11
24,0.451,2.578,7
25,0.452,2.553,2
26,0.452,2.527,15
27,0.452,2.47,5
28,0.453,2.414,13
29,0.437,2.353,7
30,0.45,2.31,19
31,0.456,2.256,10
32,0.449,2.22,11
33,0.451,2.199,5
34,0.451,2.178,6
35,0.454,2.166,11
36,0.45,2.134,8
37,0.447,2.092,4
38,0.449,2.06,11
39,0.452,2.013,3
40,0.451,1.993,7
41,0.449,1.955,6
42,0.432,1.923,11
43,0.427,1.886,0
44,0.432,1.859,8
45,0.438,1.831,2
46,0.438,1.815,9
47,0.439,1.789,4
48,0.441,1.758,12
49,0.442,1.738,13
50,0.44,1.706,2
51,0.44,1.697,16
52,0.44,1.661,10
53,0.444,1.629,14
54,0.446,1.562,3
55,0.445,1.549,1
56,0.443,1.533,6
57,0.437,1.494,2
58,0.437,1.484,12
59,0.435,1.456,5
60,0.431,1.426,5
61,0.427,1.403,3
62,0.426,1.385,8
63,0.423,1.359,0
64,0.426,1.351,11
65,0.416,1.306,1
66,0.417,1.28,9
67,0.414,1.248,9
68,0.405,1.199,7
69,0.396,1.164,10
70,0.404,1.113,10
71,0.395,1.034,6
72,0.397,0.956,2
73,0.396,0.943,0
74,0.395,0.914,15
75,0.395,0.851,6
76,0.4,0.802,4
77,0.394,0.765,8
78,0.391,0.717,0
79,0.386,0.692,7
80,0.384,0.662,4
81,0.384,0.648,8
82,0.382,0.618,8
83,0.377,0.597,5
84,0.374,0.582,0
85,0.373,0.563,10
86,0.372,0.54,10
87,0.366,0.498,1
88,0.371,0.475,8
89,0.371,0.447,7
90,0.366,0.411,8
91,0.364,0.37,2
92,0.363,0.358,10
93,0.363,0.334,4
94,0.358,0.304,
