,X,Y,resin.duct.count
1,0.373,3.951,0
2,0.381,3.936,5
3,0.383,3.927,6
4,0.388,3.906,2
5,0.402,3.911,1
6,0.392,3.885,6
7,0.395,3.858,14
8,0.399,3.832,13
9,0.404,3.811,17
10,0.408,3.773,20
11,0.415,3.74,20
12,0.417,3.72,30
13,0.417,3.673,11
14,0.421,3.654,10
15,0.422,3.63,11
16,0.42,3.62,15
17,0.42,3.605,17
18,0.424,3.585,14
19,0.422,3.563,27
20,0.429,3.542,11
21,0.428,3.524,12
22,0.428,3.506,3
23,0.428,3.494,10
24,0.428,3.478,4
25,0.429,3.468,3
26,0.429,3.458,6
27,0.426,3.45,7
28,0.438,3.438,10
29,0.43,3.422,6
30,0.43,3.416,5
31,0.429,3.407,19
32,0.43,3.383,23
33,0.435,3.353,5
34,0.435,3.345,7
35,0.436,3.338,4
36,0.438,3.325,6
37,0.438,3.32,5
38,0.439,3.31,9
39,0.442,3.295,10
40,0.439,3.272,5
41,0.439,3.251,9
42,0.435,3.238,10
43,0.436,3.221,11
44,0.434,3.201,2
45,0.432,3.19,7
46,0.43,3.178,6
47,0.43,3.164,6
48,0.426,3.139,14
49,0.426,3.113,11
50,0.427,3.086,9
51,0.425,3.054,24
52,0.424,2.983,10
53,0.424,2.966,7
54,0.426,2.955,4
55,0.426,2.944,5
56,0.429,2.931,3
57,0.429,2.918,4
58,0.431,2.905,6
59,0.431,2.895,6
60,0.432,2.889,7
61,0.432,2.872,4
62,0.433,2.863,9
63,0.434,2.847,1
64,0.435,2.843,2
65,0.436,2.838,9
66,0.435,2.822,20
67,0.437,2.785,10
68,0.438,2.758,18
69,0.437,2.715,9
70,0.439,2.676,16
71,0.439,2.644,13
72,0.435,2.588,9
73,0.436,2.562,3
74,0.435,2.54,12
75,0.435,2.506,4
76,0.436,2.487,13
77,0.435,2.448,4
78,0.441,2.422,7
79,0.444,2.403,11
80,0.444,2.366,15
81,0.445,2.342,3
82,0.453,2.316,13
83,0.455,2.286,13
84,0.457,2.255,12
85,0.458,2.232,6
86,0.457,2.224,7
87,0.458,2.209,1
88,0.459,2.18,16
89,0.463,2.149,6
90,0.466,2.116,13
91,0.468,2.093,7
92,0.468,2.059,12
93,0.464,2.036,2
94,0.464,2.024,16
95,0.466,1.985,4
96,0.466,1.959,14
97,0.462,1.923,15
98,0.464,1.883,15
99,0.468,1.853,13
100,0.466,1.802,4
101,0.467,1.786,13
102,0.467,1.762,11
103,0.469,1.732,10
104,0.47,1.71,10
105,0.469,1.688,16
106,0.475,1.647,9
107,0.478,1.619,16
108,0.489,1.58,14
109,0.491,1.545,0
110,0.491,1.538,8
111,0.492,1.516,5
112,0.492,1.505,3
113,0.493,1.493,11
114,0.496,1.475,9
115,0.495,1.443,10
116,0.496,1.425,9
117,0.494,1.394,9
118,0.494,1.381,15
119,0.494,1.349,8
120,0.492,1.317,2
121,0.491,1.302,13
122,0.489,1.27,4
123,0.491,1.266,8
124,0.482,1.254,16
125,0.484,1.228,9
126,0.48,1.201,17
127,0.479,1.15,10
128,0.481,1.105,13
129,0.481,1.062,12
130,0.479,1.036,14
131,0.479,0.999,3
132,0.478,0.974,13
133,0.478,0.943,14
134,0.479,0.911,15
135,0.48,0.886,19
136,0.481,0.86,5
137,0.483,0.838,2
138,0.484,0.826,6
139,0.484,0.814,11
140,0.483,0.802,18
141,0.481,0.781,9
142,0.479,0.754,10
143,0.482,0.729,2
144,0.483,0.724,14
145,0.481,0.706,12
146,0.483,0.686,13
147,0.484,0.663,3
148,0.484,0.646,16
149,0.486,0.624,6
150,0.487,0.595,9
151,0.487,0.577,12
152,0.489,0.558,3
153,0.49,0.544,1
154,0.49,0.535,11
155,0.491,0.52,11
156,0.488,0.498,1
157,0.488,0.488,0
158,0.488,0.48,1
159,0.488,0.47,6
160,0.487,0.463,13
161,0.488,0.447,4
162,0.488,0.44,6
163,0.488,0.425,5
164,0.487,0.414,19
165,0.489,0.394,11
166,0.489,0.362,10
167,0.489,0.327,1
168,0.49,0.318,15
169,0.49,0.279,2
170,0.49,0.266,14
171,0.491,0.236,5
172,0.489,0.214,8
173,0.488,0.201,4
174,0.491,0.183,6
175,0.491,0.168,
