 ,X,Y
1,0.362,3.156
2,0.357,3.143
3,0.349,3.131
4,0.339,3.093
5,0.338,3.065
6,0.331,3.019
7,0.336,2.988
8,0.341,2.950
9,0.334,2.912
10,0.330,2.885
11,0.329,2.852
12,0.326,2.801
13,0.328,2.773
14,0.326,2.754
15,0.325,2.738
16,0.321,2.727
17,0.318,2.709
18,0.314,2.679
19,0.316,2.650
20,0.316,2.613
21,0.314,2.577
22,0.314,2.548
23,0.318,2.536
24,0.318,2.520
25,0.312,2.486
26,0.303,2.424
27,0.293,2.388
28,0.304,2.359
29,0.305,2.337
30,0.305,2.317
31,0.303,2.288
32,0.289,2.211
33,0.283,2.169
34,0.283,2.125
35,0.283,2.088
36,0.282,2.056
37,0.277,2.013
38,0.277,1.987
39,0.275,1.959
40,0.272,1.942
41,0.274,1.922
42,0.269,1.900
43,0.264,1.880
44,0.266,1.864
45,0.265,1.840
46,0.267,1.798
47,0.260,1.732
48,0.259,1.695
49,0.255,1.662
50,0.251,1.631
51,0.254,1.610
52,0.254,1.595
53,0.258,1.572
54,0.256,1.558
55,0.257,1.538
56,0.258,1.523
57,0.258,1.508
58,0.258,1.501
59,0.259,1.483
60,0.261,1.470
61,0.258,1.449
62,0.263,1.413
63,0.260,1.382
64,0.259,1.318
65,0.261,1.245
66,0.264,1.184
67,0.272,1.154
68,0.261,1.117
69,0.262,1.088
70,0.260,1.055
71,0.275,1.031
72,0.278,1.007
73,0.271,0.970
74,0.270,0.943
75,0.269,0.900
76,0.268,0.863
77,0.270,0.839
78,0.270,0.791
79,0.269,0.766
80,0.266,0.733
81,0.266,0.711
82,0.273,0.689
83,0.274,0.682
84,0.278,0.663
85,0.273,0.634
86,0.273,0.609
87,0.260,0.580
88,0.273,0.556
89,0.268,0.529
90,0.264,0.510
91,0.272,0.493
92,0.273,0.482
93,0.276,0.468
94,0.280,0.433
95,0.279,0.421
96,0.277,0.399
97,0.276,0.382
98,0.275,0.367
99,0.273,0.334
100,0.275,0.328
101,0.274,0.306
102,0.272,0.282
103,0.269,0.273
104,0.268,0.246
105,0.265,0.191
106,0.269,0.149
107,0.275,0.098
108,0.278,0.084
109,0.281,0.071
110,0.276,0.057
111,0.281,0.038
