 ,X,Y,resin.duct.count
1,0.395,2.53,0
2,0.395,2.469,25
3,0.399,2.346,26
4,0.389,2.152,11
5,0.391,2.12,12
6,0.396,1.976,9
7,0.401,1.883,17
8,0.377,1.782,8
9,0.382,1.759,10
10,0.381,1.743,9
11,0.366,1.722,2
12,0.367,1.703,9
13,0.362,1.686,7
14,0.359,1.64,1
15,0.361,1.614,4
16,0.361,1.583,2
17,0.356,1.565,5
18,0.361,1.553,2
19,0.362,1.525,0
20,0.365,1.513,7
21,0.367,1.426,5
22,0.388,1.349,13
23,0.385,1.195,0
24,0.383,1.167,4
25,0.387,1.122,6
26,0.399,1.057,5
27,0.395,1.014,13
28,0.393,0.865,0
29,0.373,0.851,1
30,0.376,0.832,8
31,0.373,0.772,3
32,0.378,0.743,16
33,0.383,0.682,14
34,0.385,0.497,15
35,0.39,0.295,
