 ,X,Y
1,0.838,4.566
2,0.822,4.557
3,0.799,4.515
4,0.791,4.469
5,0.773,4.431
6,0.763,4.385
7,0.760,4.334
8,0.744,4.279
9,0.740,4.259
10,0.724,4.185
11,0.720,4.123
12,0.720,4.076
13,0.717,4.044
14,0.716,4.002
15,0.714,3.964
16,0.713,3.942
17,0.688,3.833
18,0.685,3.786
19,0.684,3.737
20,0.680,3.687
21,0.680,3.660
22,0.683,3.560
23,0.680,3.521
24,0.673,3.482
25,0.674,3.455
26,0.674,3.415
27,0.672,3.328
28,0.660,3.297
29,0.661,3.201
30,0.663,3.141
31,0.662,3.065
32,0.658,2.924
33,0.655,2.880
34,0.647,2.837
35,0.666,2.772
36,0.664,2.738
37,0.665,2.690
38,0.665,2.658
39,0.665,2.639
40,0.664,2.582
41,0.663,2.527
42,0.660,2.510
43,0.664,2.488
44,0.668,2.481
45,0.667,2.476
46,0.667,2.471
47,0.667,2.466
48,0.665,2.446
49,0.667,2.408
50,0.669,2.359
51,0.680,2.301
52,0.683,2.223
53,0.680,2.211
54,0.685,2.170
55,0.685,2.149
56,0.690,2.104
57,0.692,2.029
58,0.697,1.938
59,0.697,1.815
60,0.698,1.771
61,0.695,1.704
62,0.699,1.655
63,0.705,1.598
64,0.710,1.546
65,0.712,1.529
66,0.715,1.449
67,0.716,1.391
68,0.719,1.332
69,0.719,1.282
70,0.720,1.254
71,0.724,1.155
72,0.731,1.070
73,0.734,1.019
74,0.735,0.948
75,0.740,0.885
76,0.746,0.772
77,0.753,0.661
78,0.757,0.582
79,0.757,0.563
80,0.758,0.507
81,0.770,0.403
82,0.771,0.376
83,0.775,0.349
84,0.775,0.331
85,0.774,0.307
86,0.775,0.299
87,0.776,0.273
88,0.774,0.228
89,0.779,0.208
90,0.777,0.201
91,0.773,0.172
