 ,X,Y,resin.duct.count
1,0.608,4.433,0
2,0.607,4.399,12
3,0.602,4.329,16
4,0.598,4.229,22
5,0.582,4.14,20
6,0.57,4.046,12
7,0.557,3.949,20
8,0.553,3.894,13
9,0.552,3.799,7
10,0.547,3.733,4
11,0.547,3.679,8
12,0.543,3.63,5
13,0.535,3.593,2
14,0.533,3.564,3
15,0.53,3.532,3
16,0.523,3.492,4
17,0.523,3.473,2
18,0.523,3.453,0
19,0.518,3.43,4
20,0.513,3.388,9
21,0.513,3.363,7
22,0.509,3.323,6
23,0.509,3.267,9
24,0.504,3.182,5
25,0.507,3.121,1
26,0.505,3.086,5
27,0.505,3.037,4
28,0.499,2.994,2
29,0.497,2.971,3
30,0.496,2.936,7
31,0.493,2.913,1
32,0.493,2.883,2
33,0.486,2.857,0
34,0.487,2.848,1
35,0.489,2.827,3
36,0.489,2.803,1
37,0.486,2.775,1
38,0.484,2.763,0
39,0.484,2.738,3
40,0.479,2.702,6
41,0.478,2.623,5
42,0.482,2.557,4
43,0.476,2.502,5
44,0.475,2.418,6
45,0.473,2.366,12
46,0.46,2.303,5
47,0.459,2.233,6
48,0.463,2.172,12
49,0.469,2.094,1
50,0.47,2.055,2
51,0.469,2.005,8
52,0.47,1.932,4
53,0.465,1.869,1
54,0.467,1.837,6
55,0.464,1.814,3
56,0.457,1.784,5
57,0.446,1.756,2
58,0.454,1.721,0
59,0.454,1.699,6
60,0.457,1.623,3
61,0.45,1.537,5
62,0.45,1.465,3
63,0.454,1.396,8
64,0.454,1.312,2
65,0.447,1.234,8
66,0.443,1.156,2
67,0.447,1.116,3
68,0.448,1.091,3
69,0.444,1.062,2
70,0.442,1.026,3
71,0.442,0.973,1
72,0.439,0.911,0
73,0.44,0.883,2
74,0.435,0.827,0
75,0.437,0.797,3
76,0.437,0.741,0
77,0.437,0.716,1
78,0.437,0.68,4
79,0.438,0.662,2
80,0.444,0.627,0
81,0.445,0.591,1
82,0.443,0.552,5
83,0.443,0.491,7
84,0.443,0.413,1
85,0.422,0.362,9
86,0.424,0.257,0
87,0.428,0.229,1
88,0.434,0.18,11
89,0.431,0.105,9
90,0.433,0.097,1
91,0.43,0.069,0
92,0.43,0.06,0
93,0.428,0.04,
