 ,X,Y,resin.duct.count
1,0.137,3.392,0
2,0.137,3.352,19
3,0.154,3.275,17
4,0.161,3.191,11
5,0.168,3.134,11
6,0.169,3.093,12
7,0.171,3.058,9
8,0.171,3.027,3
9,0.17,3.004,2
10,0.176,2.981,25
11,0.19,2.923,4
12,0.191,2.892,5
13,0.185,2.844,6
14,0.188,2.825,10
15,0.198,2.773,4
16,0.192,2.756,2
17,0.203,2.719,2
18,0.207,2.708,10
19,0.212,2.68,3
20,0.219,2.663,0
21,0.221,2.649,7
22,0.224,2.627,5
23,0.227,2.612,3
24,0.229,2.598,5
25,0.231,2.569,11
26,0.234,2.545,9
27,0.232,2.533,12
28,0.236,2.508,9
29,0.235,2.468,10
30,0.237,2.422,7
31,0.234,2.382,9
32,0.238,2.301,18
33,0.245,2.197,12
34,0.247,2.119,3
35,0.258,2.078,7
36,0.257,2.063,7
37,0.256,2.025,4
38,0.264,1.985,13
39,0.263,1.87,23
40,0.261,1.737,4
41,0.271,1.699,14
42,0.28,1.597,20
43,0.284,1.365,6
44,0.282,1.29,10
45,0.279,1.248,5
46,0.291,1.2,5
47,0.301,1.186,12
48,0.302,1.145,7
49,0.306,1.098,8
50,0.303,1.071,9
51,0.307,1.032,9
52,0.297,0.991,2
53,0.301,0.975,1
54,0.301,0.957,4
55,0.3,0.942,8
56,0.295,0.914,9
57,0.293,0.863,1
58,0.291,0.842,5
59,0.261,0.81,5
60,0.26,0.801,2
61,0.261,0.771,7
62,0.261,0.745,11
63,0.269,0.69,7
64,0.266,0.643,3
65,0.265,0.62,8
66,0.26,0.578,1
67,0.26,0.553,1
68,0.257,0.516,3
69,0.256,0.496,2
70,0.257,0.478,1
71,0.26,0.457,6
72,0.273,0.423,3
73,0.271,0.42,1
74,0.274,0.413,1
75,0.273,0.391,14
76,0.283,0.352,5
77,0.284,0.334,
