 ,X,Y
1,0.597,5.080
2,0.554,5.037
3,0.513,4.958
4,0.475,4.831
5,0.436,4.677
6,0.400,4.540
7,0.405,4.480
8,0.413,4.349
9,0.411,4.107
10,0.392,3.936
11,0.411,3.756
12,0.405,3.586
13,0.401,3.482
14,0.399,3.389
15,0.398,3.333
16,0.394,3.246
17,0.401,3.152
18,0.394,3.081
19,0.383,3.002
20,0.379,2.928
21,0.368,2.875
22,0.369,2.856
23,0.369,2.783
24,0.368,2.720
25,0.366,2.634
26,0.357,2.498
27,0.367,2.379
28,0.339,2.230
29,0.346,2.147
30,0.343,2.010
31,0.359,1.973
32,0.355,1.838
33,0.360,1.804
34,0.360,1.730
35,0.350,1.635
36,0.350,1.608
37,0.349,1.579
38,0.341,1.521
39,0.335,1.472
40,0.341,1.439
41,0.342,1.426
42,0.345,1.402
43,0.337,1.368
44,0.341,1.316
45,0.335,1.276
46,0.335,1.256
47,0.327,1.193
48,0.326,1.153
49,0.326,1.104
50,0.330,1.066
51,0.326,1.007
52,0.330,0.981
53,0.327,0.939
54,0.323,0.896
55,0.323,0.873
56,0.322,0.782
57,0.324,0.701
58,0.324,0.672
59,0.326,0.578
60,0.326,0.557
61,0.328,0.538
62,0.327,0.460
63,0.329,0.412
64,0.329,0.366
65,0.329,0.322
