 ,X,Y,resin.duct.count
1,0.378,2.457,0
2,0.371,2.407,21
3,0.358,2.324,20
4,0.366,2.215,15
5,0.373,2.074,14
6,0.376,1.978,8
7,0.375,1.896,6
8,0.379,1.813,15
9,0.381,1.721,3
10,0.376,1.672,12
11,0.371,1.562,2
12,0.372,1.515,8
13,0.367,1.463,9
14,0.371,1.348,6
15,0.379,1.254,7
16,0.379,1.165,13
17,0.357,1.056,3
18,0.369,0.975,1
19,0.363,0.944,1
20,0.367,0.937,8
21,0.363,0.863,9
22,0.359,0.759,6
23,0.366,0.672,5
24,0.369,0.65,6
25,0.368,0.593,5
26,0.367,0.575,5
27,0.364,0.536,0
28,0.358,0.507,5
29,0.338,0.476,9
30,0.348,0.408,1
31,0.353,0.39,6
32,0.346,0.352,7
33,0.328,0.303,0
34,0.328,0.282,1
35,0.328,0.261,12
36,0.333,0.198,2
37,0.336,0.17,0
38,0.336,0.149,
