 ,X,Y,resin.duct.count
1,0.45,7.126,0
2,0.435,7.101,3
3,0.323,6.783,17
4,0.307,6.576,14
5,0.323,6.466,16
6,0.31,6.331,21
7,0.309,6.112,24
8,0.294,5.962,16
9,0.306,5.857,19
10,0.303,5.74,12
11,0.303,5.663,19
12,0.304,5.546,10
13,0.305,5.478,15
14,0.31,5.385,19
15,0.306,5.271,13
16,0.304,5.175,9
17,0.305,5.066,14
18,0.31,4.968,13
19,0.304,4.847,19
20,0.299,4.725,12
21,0.294,4.63,17
22,0.293,4.543,14
23,0.299,4.468,13
24,0.309,4.353,10
25,0.302,4.242,17
26,0.296,4.127,8
27,0.304,4.048,1
28,0.31,3.985,11
29,0.309,3.937,9
30,0.302,3.862,4
31,0.3,3.808,12
32,0.298,3.711,9
33,0.318,3.638,15
34,0.314,3.547,2
35,0.314,3.496,6
36,0.312,3.445,8
37,0.307,3.392,13
38,0.301,3.315,10
39,0.318,3.262,6
40,0.317,3.177,7
41,0.314,3.118,8
42,0.293,3.075,5
43,0.32,3.032,4
44,0.321,2.957,12
45,0.315,2.866,2
46,0.313,2.831,5
47,0.31,2.787,3
48,0.297,2.735,12
49,0.291,2.63,5
50,0.292,2.592,6
51,0.299,2.512,5
52,0.295,2.453,2
53,0.298,2.435,3
54,0.301,2.389,4
55,0.302,2.348,5
56,0.305,2.309,3
57,0.305,2.288,7
58,0.306,2.253,3
59,0.306,2.232,8
60,0.307,2.188,8
61,0.318,2.132,3
62,0.314,2.073,3
63,0.328,2.028,6
64,0.324,1.995,2
65,0.323,1.938,2
66,0.326,1.895,5
67,0.329,1.852,4
68,0.331,1.813,3
69,0.333,1.765,0
70,0.331,1.735,10
71,0.35,1.697,6
72,0.346,1.664,3
73,0.339,1.631,6
74,0.339,1.595,7
75,0.338,1.565,2
76,0.341,1.547,3
77,0.338,1.522,1
78,0.333,1.504,6
79,0.336,1.446,2
80,0.336,1.42,2
81,0.336,1.395,5
82,0.323,1.364,1
83,0.318,1.342,7
84,0.317,1.276,2
85,0.321,1.252,4
86,0.321,1.228,4
87,0.322,1.202,2
88,0.323,1.155,6
89,0.323,1.12,4
90,0.328,1.047,0
91,0.334,1.008,8
92,0.335,0.922,3
93,0.336,0.874,5
94,0.342,0.823,6
95,0.341,0.766,2
96,0.347,0.714,8
97,0.348,0.675,4
98,0.348,0.64,2
99,0.354,0.577,4
100,0.354,0.535,4
101,0.351,0.493,8
102,0.351,0.445,4
103,0.359,0.402,17
104,0.372,0.319,5
105,0.352,0.264,2
106,0.357,0.22,4
107,0.359,0.21,2
108,0.353,0.187,7
109,0.354,0.148,5
110,0.354,0.118,5
111,0.352,0.107,3
112,0.352,0.079,0
113,0.352,0.069,
