 ,X,Y,resin.duct.count
1,0.434,3.451,0
2,0.435,3.443,20
3,0.448,3.388,13
4,0.476,3.346,12
5,0.474,3.312,14
6,0.487,3.278,11
7,0.497,3.235,7
8,0.497,3.202,12
9,0.508,3.182,6
10,0.514,3.165,11
11,0.517,3.155,21
12,0.521,3.14,8
13,0.525,3.129,6
14,0.528,3.12,7
15,0.535,3.113,15
16,0.536,3.097,14
17,0.544,3.076,13
18,0.545,3.059,23
19,0.554,3.022,10
20,0.549,2.992,7
21,0.551,2.967,8
22,0.553,2.947,7
23,0.555,2.923,8
24,0.554,2.894,15
25,0.555,2.865,9
26,0.56,2.826,12
27,0.558,2.792,5
28,0.559,2.754,3
29,0.557,2.735,4
30,0.557,2.717,11
31,0.559,2.664,6
32,0.561,2.645,14
33,0.565,2.591,10
34,0.571,2.525,19
35,0.574,2.463,9
36,0.574,2.409,9
37,0.574,2.336,13
38,0.573,2.287,27
39,0.576,2.18,15
40,0.575,2.074,10
41,0.573,2.005,12
42,0.575,1.933,22
43,0.58,1.868,15
44,0.585,1.764,21
45,0.6,1.659,24
46,0.607,1.568,19
47,0.612,1.53,1
48,0.616,1.516,14
49,0.62,1.46,25
50,0.627,1.379,28
51,0.641,1.269,19
52,0.654,1.18,4
53,0.659,1.151,18
54,0.67,1.09,10
55,0.675,1.06,18
56,0.682,1.009,8
57,0.682,0.976,8
58,0.685,0.92,13
59,0.687,0.891,1
60,0.688,0.876,13
61,0.684,0.848,11
62,0.682,0.805,15
63,0.68,0.764,16
64,0.678,0.719,18
65,0.68,0.636,15
66,0.68,0.587,12
67,0.683,0.541,17
68,0.682,0.466,12
69,0.694,0.427,5
70,0.694,0.402,14
71,0.698,0.349,20
72,0.702,0.288,
