 ,X,Y,resin.duct.count
1,0.391,2.295,0
2,0.391,2.278,9
3,0.389,2.244,20
4,0.379,2.167,22
5,0.38,2.109,16
6,0.383,2.073,10
7,0.379,2.034,3
8,0.383,2.018,7
9,0.389,1.989,12
10,0.392,1.954,1
11,0.391,1.938,4
12,0.396,1.907,14
13,0.393,1.85,12
14,0.394,1.799,0
15,0.395,1.787,15
16,0.403,1.742,10
17,0.408,1.677,2
18,0.407,1.652,14
19,0.405,1.611,9
20,0.406,1.573,6
21,0.402,1.544,0
22,0.404,1.538,6
23,0.405,1.518,0
24,0.402,1.508,7
25,0.405,1.471,4
26,0.405,1.441,3
27,0.399,1.421,9
28,0.393,1.387,3
29,0.398,1.357,7
30,0.401,1.324,11
31,0.406,1.257,4
32,0.404,1.212,2
33,0.4,1.197,3
34,0.402,1.179,2
35,0.4,1.157,16
36,0.4,1.108,14
37,0.399,1.059,6
38,0.386,1.024,0
39,0.386,1.014,20
40,0.397,0.967,1
41,0.406,0.952,12
42,0.396,0.899,0
43,0.399,0.872,7
44,0.409,0.833,5
45,0.408,0.807,3
46,0.408,0.779,24
47,0.402,0.652,13
48,0.406,0.575,1
49,0.407,0.547,25
50,0.429,0.422,1
51,0.433,0.385,4
52,0.448,0.358,10
53,0.446,0.3,0
54,0.443,0.283,13
55,0.451,0.223,0
56,0.451,0.211,0
57,0.464,0.165,
