 ,X,Y,resin.duct.count
1,0.707,2.26,0
2,0.708,2.25,28
3,0.71,2.188,18
4,0.695,2.161,18
5,0.697,2.127,18
6,0.697,2.091,19
7,0.695,2.062,32
8,0.704,2.008,15
9,0.705,1.985,22
10,0.708,1.95,22
11,0.71,1.907,18
12,0.705,1.866,16
13,0.703,1.821,12
14,0.695,1.782,25
15,0.695,1.723,23
16,0.696,1.677,18
17,0.698,1.619,13
18,0.692,1.597,20
19,0.698,1.554,17
20,0.697,1.501,20
21,0.702,1.458,23
22,0.711,1.408,18
23,0.716,1.361,15
24,0.706,1.312,17
25,0.708,1.274,10
26,0.709,1.238,7
27,0.714,1.213,14
28,0.714,1.179,20
29,0.71,1.14,13
30,0.701,1.094,14
31,0.699,1.056,8
32,0.689,1.031,11
33,0.696,1.001,11
34,0.693,0.972,16
35,0.692,0.927,10
36,0.69,0.899,16
37,0.684,0.858,1
38,0.684,0.845,14
39,0.682,0.818,5
40,0.682,0.794,16
41,0.682,0.767,11
42,0.684,0.739,13
43,0.682,0.709,8
44,0.683,0.682,13
45,0.685,0.652,6
46,0.693,0.624,11
47,0.682,0.593,10
48,0.679,0.558,5
49,0.679,0.539,13
50,0.686,0.502,10
51,0.68,0.465,15
52,0.674,0.433,1
53,0.677,0.424,
