 ,X,Y,resin.duct.count
1,0.644,4.068,0
2,0.644,4.056,6
3,0.646,4.039,25
4,0.646,3.989,15
5,0.647,3.97,12
6,0.642,3.95,19
7,0.651,3.921,18
8,0.651,3.897,37
9,0.649,3.834,23
10,0.656,3.789,17
11,0.654,3.744,14
12,0.659,3.71,30
13,0.661,3.579,11
14,0.667,3.549,1
15,0.674,3.521,16
16,0.681,3.482,17
17,0.677,3.428,6
18,0.683,3.404,11
19,0.679,3.357,11
20,0.686,3.323,0
21,0.687,3.306,1
22,0.689,3.29,14
23,0.695,3.252,1
24,0.695,3.221,12
25,0.691,3.159,2
26,0.698,3.149,3
27,0.694,3.133,12
28,0.695,3.119,9
29,0.701,3.069,20
30,0.693,2.988,20
31,0.691,2.882,9
32,0.682,2.843,13
33,0.677,2.773,8
34,0.683,2.741,10
35,0.688,2.696,14
36,0.694,2.633,11
37,0.696,2.57,13
38,0.698,2.478,12
39,0.701,2.422,13
40,0.707,2.364,15
41,0.711,2.284,19
42,0.712,2.158,15
43,0.713,2.06,7
44,0.713,2.007,20
45,0.713,1.883,14
46,0.728,1.799,12
47,0.727,1.735,6
48,0.725,1.705,17
49,0.727,1.609,7
50,0.717,1.56,17
51,0.718,1.445,22
52,0.716,1.349,12
53,0.714,1.297,11
54,0.716,1.257,9
55,0.714,1.209,14
56,0.719,1.137,18
57,0.723,1.042,9
58,0.727,0.969,8
59,0.733,0.942,15
60,0.738,0.866,20
61,0.716,0.726,7
62,0.724,0.662,10
63,0.721,0.615,8
64,0.728,0.588,10
65,0.725,0.551,2
66,0.724,0.542,13
67,0.724,0.519,8
68,0.727,0.494,10
69,0.73,0.464,9
70,0.729,0.444,4
71,0.731,0.427,21
72,0.738,0.362,2
73,0.742,0.335,3
74,0.738,0.313,12
75,0.743,0.269,5
76,0.741,0.251,9
77,0.738,0.232,9
78,0.74,0.198,
