 ,X,Y,resin.duct.count
1,0.655,1.918,0
2,0.652,1.893,6
3,0.653,1.868,11
4,0.654,1.832,14
5,0.655,1.802,13
6,0.653,1.774,27
7,0.652,1.733,26
8,0.653,1.7,16
9,0.654,1.649,4
10,0.653,1.631,11
11,0.651,1.598,15
12,0.647,1.543,3
13,0.652,1.491,5
14,0.656,1.453,16
15,0.645,1.383,7
16,0.641,1.347,20
17,0.654,1.245,12
18,0.636,1.173,6
19,0.627,1.148,7
20,0.635,1.086,3
21,0.632,1.05,13
22,0.649,0.989,14
23,0.649,0.906,2
24,0.649,0.867,2
25,0.652,0.854,19
26,0.665,0.816,9
27,0.661,0.759,1
28,0.664,0.734,0
29,0.659,0.726,0
30,0.659,0.715,5
31,0.656,0.692,7
32,0.662,0.658,5
33,0.662,0.64,1
34,0.668,0.612,6
35,0.666,0.583,2
36,0.672,0.569,0
37,0.671,0.558,1
38,0.669,0.526,1
39,0.68,0.508,3
40,0.681,0.496,1
41,0.682,0.476,5
42,0.678,0.46,0
43,0.678,0.452,0
44,0.678,0.441,1
45,0.679,0.43,1
46,0.665,0.414,0
47,0.666,0.409,2
48,0.667,0.404,1
49,0.667,0.392,
