 ,X,Y,resin.duct.count
1,0.472,5.081,0
2,0.462,5.053,15
3,0.446,5.01,16
4,0.435,4.953,15
5,0.429,4.924,20
6,0.406,4.866,18
7,0.396,4.777,16
8,0.383,4.729,25
9,0.379,4.643,18
10,0.371,4.547,34
11,0.352,4.414,4
12,0.346,4.393,18
13,0.353,4.227,7
14,0.346,4.125,27
15,0.361,3.959,19
16,0.344,3.808,12
17,0.349,3.782,15
18,0.317,3.664,12
19,0.388,3.559,20
20,0.339,3.358,18
21,0.317,3.188,10
22,0.323,3.041,10
23,0.32,2.945,2
24,0.327,2.872,18
25,0.331,2.693,32
26,0.344,2.393,22
27,0.348,2.225,8
28,0.342,2.153,12
29,0.341,2.065,9
30,0.348,1.994,20
31,0.336,1.849,0
32,0.34,1.837,16
33,0.329,1.724,1
34,0.331,1.682,5
35,0.349,1.6,13
36,0.352,1.549,13
37,0.353,1.49,13
38,0.362,1.379,15
39,0.363,1.247,6
40,0.362,1.163,22
41,0.357,0.951,12
42,0.365,0.853,19
43,0.377,0.73,7
44,0.365,0.632,6
45,0.365,0.612,1
46,0.365,0.575,18
47,0.356,0.476,9
48,0.358,0.401,3
49,0.366,0.311,
