 ,X,Y
1,0.727,3.213
2,0.721,3.187
3,0.703,3.155
4,0.689,3.089
5,0.688,3.070
6,0.687,3.002
7,0.684,2.947
8,0.687,2.921
9,0.686,2.915
10,0.678,2.888
11,0.679,2.831
12,0.681,2.790
13,0.682,2.764
14,0.680,2.760
15,0.679,2.702
16,0.682,2.684
17,0.672,2.635
18,0.672,2.561
19,0.693,2.503
20,0.688,2.497
21,0.693,2.475
22,0.692,2.455
23,0.687,2.425
24,0.688,2.413
25,0.688,2.384
26,0.688,2.379
27,0.688,2.341
28,0.683,2.281
29,0.672,2.203
30,0.678,2.134
31,0.657,2.077
32,0.652,2.019
33,0.652,1.961
34,0.657,1.892
35,0.659,1.885
36,0.664,1.870
37,0.662,1.843
38,0.663,1.792
39,0.668,1.743
40,0.672,1.714
41,0.673,1.694
42,0.673,1.681
43,0.674,1.673
44,0.674,1.662
45,0.676,1.647
46,0.678,1.624
47,0.677,1.612
48,0.677,1.597
49,0.677,1.584
50,0.678,1.555
51,0.679,1.502
52,0.682,1.474
53,0.681,1.444
54,0.682,1.431
55,0.685,1.410
56,0.685,1.402
57,0.687,1.375
58,0.687,1.362
59,0.687,1.340
60,0.687,1.329
61,0.690,1.309
62,0.690,1.284
63,0.685,1.247
64,0.692,1.222
65,0.692,1.216
66,0.694,1.206
67,0.694,1.188
68,0.693,1.150
69,0.696,1.111
70,0.696,1.098
71,0.697,1.072
72,0.697,1.058
73,0.697,1.049
74,0.695,1.026
75,0.696,1.016
76,0.694,1.007
77,0.695,0.992
78,0.694,0.980
79,0.695,0.956
80,0.695,0.936
81,0.695,0.928
82,0.693,0.900
83,0.694,0.872
84,0.693,0.865
85,0.694,0.840
86,0.693,0.828
87,0.692,0.811
88,0.693,0.773
89,0.692,0.755
90,0.690,0.723
91,0.686,0.685
92,0.685,0.668
93,0.686,0.651
94,0.686,0.630
95,0.686,0.620
96,0.687,0.583
97,0.686,0.560
98,0.689,0.546
99,0.690,0.533
100,0.688,0.517
101,0.689,0.502
102,0.688,0.492
103,0.687,0.483
104,0.688,0.477
105,0.685,0.463
106,0.686,0.457
107,0.686,0.448
108,0.687,0.443
109,0.687,0.437
110,0.688,0.432
111,0.688,0.419
112,0.687,0.397
113,0.686,0.388
114,0.685,0.364
115,0.684,0.356
116,0.686,0.348
117,0.688,0.335
118,0.690,0.330
119,0.690,0.322
120,0.691,0.314
