 ,X,Y,resin.duct.count
1,0.593,2.638,0
2,0.598,2.62,9
3,0.61,2.597,18
4,0.618,2.572,24
5,0.619,2.535,16
6,0.627,2.49,19
7,0.623,2.454,18
8,0.63,2.426,18
9,0.631,2.399,14
10,0.63,2.382,15
11,0.634,2.36,21
12,0.648,2.317,29
13,0.653,2.275,14
14,0.655,2.237,12
15,0.656,2.21,11
16,0.653,2.186,25
17,0.672,2.123,1
18,0.677,2.092,17
19,0.682,2.059,7
20,0.689,2.029,16
21,0.689,2.011,3
22,0.693,1.996,17
23,0.706,1.964,4
24,0.704,1.933,23
25,0.722,1.9,3
26,0.725,1.879,17
27,0.74,1.821,6
28,0.748,1.78,20
29,0.756,1.742,14
30,0.744,1.691,1
31,0.742,1.674,6
32,0.768,1.662,1
33,0.769,1.652,9
34,0.769,1.618,4
35,0.769,1.609,2
36,0.772,1.585,9
37,0.772,1.54,8
38,0.774,1.512,4
39,0.778,1.478,13
40,0.776,1.447,1
41,0.776,1.428,8
42,0.767,1.364,21
43,0.759,1.285,8
44,0.758,1.218,19
45,0.758,1.153,8
46,0.76,1.086,30
47,0.758,1.024,6
48,0.757,0.976,10
49,0.748,0.941,10
50,0.75,0.884,14
51,0.754,0.843,2
52,0.754,0.828,8
53,0.754,0.801,1
54,0.752,0.785,13
55,0.752,0.749,4
56,0.754,0.723,10
57,0.758,0.679,1
58,0.76,0.673,15
59,0.765,0.646,3
60,0.762,0.624,7
61,0.766,0.616,5
62,0.764,0.592,8
63,0.767,0.561,11
64,0.766,0.544,3
65,0.767,0.538,1
66,0.77,0.532,1
67,0.771,0.526,1
68,0.772,0.519,0
69,0.773,0.504,3
70,0.777,0.486,12
71,0.781,0.45,12
72,0.777,0.407,14
73,0.778,0.377,7
74,0.785,0.328,2
75,0.787,0.311,7
76,0.785,0.3,16
77,0.789,0.26,2
78,0.792,0.237,11
79,0.792,0.207,21
80,0.789,0.136,
