,Area,Mean,min,max
1,3.26E-05,156.952,125,182
2,2.03E-05,145.178,115,186
3,3.61E-05,146.103,119,176
4,2.81E-05,143.59,120,168
5,1.21E-05,152.661,124,179
6,2.05E-05,161.448,114,184
7,2.41E-05,149.045,127,176
8,1.88E-05,149.542,126,176
9,2.62E-05,153.873,109,188
10,2.62E-05,143.914,119,160
11,2.11E-05,133.63,97,159
12,1.21E-05,144.282,123,159
13,2.24E-05,148.459,109,179
14,2.03E-05,144.255,110,179
15,1.95E-05,138.6,100,170
16,3.83E-05,146.712,118,183
17,2.20E-05,135.222,113,161
18,3.32E-05,149.209,107,186
19,1.92E-05,161.396,108,185
20,1.78E-05,152.071,106,180
21,2.77E-05,151.637,111,179
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
