,Area,Mean,min,max
1,1.41E-05,167.403,140,186
2,2.19E-05,199.049,186,216
3,2.81E-05,194.875,157,217
4,3.56E-05,193.681,157,215
5,3.36E-05,196.061,169,218
6,3.32E-05,193.765,171,217
7,3.91E-05,192.25,170,210
8,3.13E-05,197.884,171,218
9,4.14E-05,180.75,139,220
10,2.47E-05,177.036,156,207
11,2.03E-05,190.221,171,208
12,2.19E-05,199.049,186,216
13,2.03E-05,190.909,163,211
14,3.56E-05,188.599,147,226
15,3.24E-05,170.536,140,191
16,3.09E-05,182.123,150,203
17,2.97E-05,194.753,173,213
18,2.70E-05,185.638,165,205
19,3.36E-05,192.712,156,216
20,3.71E-05,178.842,148,204
21,1.68E-05,164.93,138,186
