,Area,Mean,min,max
1,2.38E-05,188.75,165,205
2,3.75E-05,189.167,149,215
3,2.23E-05,177.939,126,210
4,3.87E-05,187.821,155,219
5,8.87E-05,171.903,79,210
6,6.68E-05,173.443,134,211
7,4.65E-05,190.763,161,222
8,3.71E-05,181.105,156,206
9,5.27E-05,177.931,153,213
10,5.47E-05,188.536,133,223
11,1.95E-05,198.655,176,217
12,2.7E-05,168.536,136,189
13,3.56E-05,190.201,148,234
14,4.65E-05,181.62,155,201
15,4.81E-05,172.87,142,197
16,4.18E-05,186.299,157,208
17,2.19E-05,171.603,144,194
18,3.75E-05,189.167,149,215
19,3.56E-05,161.121,31,189
20,2.5E-05,189.68,170,209
