,Area,Mean,min,max
1,2.50E-05,189.023,147,206
2,3.48E-05,198.854,166,222
3,1.72E-05,194.392,163,214
4,3.13E-05,199.959,183,222
5,2.81E-05,197.653,172,214
6,3.24E-05,172.042,77,194
7,4.41E-05,195.431,165,220
8,3.75E-05,198.073,166,228
9,5.20E-05,190.011,165,212
10,7.07E-05,202.13,158,235
11,1.72E-05,186.835,169,202
12,3.46E-05,176.763,153,208
13,4.14E-05,184.215,123,210
14,2.97E-05,196.747,175,216
15,2.81E-05,188.021,161,216
16,3.36E-05,193.427,168,218
17,3.32E-05,178.891,153,197
18,3.91E-05,187.562,167,203
19,4.06E-05,189.752,161,213
20,3.13E-05,182.85,160,205
21,4.73E-05,188.329,161,215
22,4.06E-05,195.471,171,211
23,3.13E-05,194.378,168,219
24,2.46E-05,197.571,173,216
25,3.67E-05,187.253,162,217
26,4.41E-05,190.865,158,212
27,3.13E-05,195.6,170,214
28,1.68E-05,197.919,180,215
29,3.56E-05,196.338,168,212
30,3.32E-05,185.347,146,221
31,5.47E-05,187.232,163,214
32,4.30E-05,183.323,119,209
33,9.77E-06,184.58,166,209
34,2.03E-05,180.442,146,195
35,2.03E-05,164.13,144,187
36,3.13E-05,177.472,151,203
37,3.75E-05,151.474,87,195
38,9.77E-06,176.48,160,194
39,2.42E-05,197.052,180,212
