,Area,Mean,min,max
1,5.63E-05,176.418,132,203
2,2.70E-05,190.518,168,217
3,3.36E-05,196.581,180,217
4,2.81E-05,204.608,189,216
5,5.63E-05,176.418,132,203
6,3.13E-05,204.5,188,222
7,2.38E-05,205.115,187,222
8,4.41E-05,187.686,160,209
9,1.99E-05,181.196,136,201
10,4.10E-05,188.086,161,210
11,5.12E-05,186.452,151,210
12,3.09E-05,187.873,162,206
13,4.73E-05,174.021,142,208
14,4.65E-05,183.021,139,214
15,3.56E-05,150.398,51,184
16,5.63E-05,176.418,132,203
17,4.10E-05,166.638,131,197
18,2.38E-05,177.27,135,206
19,1.52E-05,159.846,124,188
20,6.09E-05,175.715,126,204
21,3.24E-05,140.584,112,167
